tn;begin;end
2402491;01.06.2015;31.12.9999
2402513;01.10.2009;31.12.9999
2402513;01.03.2018;31.12.9999
2402515;11.09.1990;31.12.9999
2402515;01.03.2018;31.12.9999
2402573;13.08.1990;31.12.9999
2402809;02.08.2016;31.12.9999
2402838;01.03.2018;31.12.9999
2402855;01.03.2018;31.12.9999
2402917;25.11.1999;31.12.9999
2402917;14.01.2015;31.12.9999
2402917;01.07.2020;31.12.9999
2403056;03.03.2015;31.12.9999
2403074;04.03.2019;31.12.9999
2403222;06.09.2010;31.12.9999
2403223;09.08.2011;31.12.9999
2403223;07.02.2017;31.12.9999
2403224;28.12.2011;31.12.9999
2403225;01.02.2018;31.12.9999
2403229;01.02.2018;31.12.9999
2403230;11.11.2008;31.12.9999
2403231;14.03.2005;31.12.9999
2403232;04.07.2016;31.12.9999
2403236;01.07.2020;31.12.9999
2403237;03.02.2014;31.12.9999
2403266;11.01.2016;31.12.9999
2403268;01.04.2011;31.12.9999
2403277;01.03.2016;31.12.9999
2403282;08.07.2014;31.12.9999
2403285;01.03.2018;31.12.9999
2403302;01.02.2016;31.12.9999
2403302;01.03.2018;31.12.9999
2403305;01.09.2013;31.12.9999
2403307;01.02.2018;31.12.9999
2403323;01.02.2016;31.12.9999
2403325;01.02.2018;31.12.9999
2403329;01.08.2012;31.12.9999
2403330;14.08.2012;31.12.9999
2403331;01.10.2009;31.12.9999
2403332;01.09.2009;31.12.9999
2403333;01.02.2018;31.12.9999
2403334;01.02.2018;31.12.9999
2403335;01.08.2008;31.12.9999
2403336;12.02.2013;31.12.9999
2405048;01.07.2020;31.12.9999
2405193;01.02.2018;31.12.9999
2405196;01.02.2018;31.12.9999
2405197;04.03.2019;31.12.9999
2405199;16.06.2009;31.12.9999
2405199;01.03.2018;31.12.9999
2405261;11.01.2016;31.12.9999
2405788;11.04.2011;31.12.9999
2405791;23.06.2014;31.12.9999
2405797;01.11.2008;31.12.9999
2405797;04.05.2018;31.12.9999
2406078;01.10.2018;31.12.9999
2406080;17.05.2018;31.12.9999
2406084;19.08.2013;31.12.9999
2406333;19.01.2015;31.12.9999
2406358;05.10.1993;31.12.9999
2406358;01.03.2018;31.12.9999
2406610;28.07.2017;31.12.9999
2406610;01.03.2018;31.12.9999
2406624;01.02.2018;31.12.9999
2406657;01.03.2016;31.12.9999
2406707;10.08.2015;31.12.9999
2407021;02.12.2019;31.12.9999
2407026;13.05.2013;31.12.9999
2407026;01.03.2018;31.12.9999
2407027;08.09.2008;31.12.9999
2407027;08.10.2009;31.12.9999
2407085;01.02.2018;31.12.9999
2407399;04.11.1996;31.12.9999
2407399;01.07.2000;31.12.9999
2407399;01.03.2018;31.12.9999
2407418;25.02.1988;31.12.9999
2407418;01.03.2018;31.12.9999
2407610;22.05.2015;31.12.9999
2407610;01.03.2018;31.12.9999
2407611;11.01.2010;31.12.9999
2407611;01.03.2018;31.12.9999
2407619;02.04.2012;31.12.9999
2407619;14.05.2019;31.12.9999
2407627;17.12.2012;31.12.9999
2407683;09.07.1986;31.12.9999
2407683;01.03.2018;31.12.9999
2408237;17.11.2015;31.12.9999
2408237;11.01.2019;31.12.9999
2408693;02.04.2018;31.12.9999
2408804;01.03.2018;31.12.9999
2408807;07.04.1987;31.12.9999
2408807;14.04.2014;31.12.9999
2408807;01.02.2018;31.12.9999
2408939;13.08.2019;31.12.9999
2408947;01.12.2015;31.12.9999
2408947;10.09.2018;31.12.9999
2408953;01.08.2020;31.12.9999
2408956;18.06.2015;31.12.9999
2408956;01.02.2018;31.12.9999
2408960;10.08.2015;31.12.9999
2408960;01.02.2018;31.12.9999
2409277;01.02.2018;31.12.9999
2409306;16.07.2019;31.12.9999
2409534;01.02.2018;31.12.9999
2410172;01.09.2011;31.12.9999
2410172;01.12.2016;31.12.9999
2410172;01.03.2018;31.12.9999
2410711;01.02.2018;31.12.9999
2410715;01.03.2018;31.12.9999
2410741;01.02.2018;31.12.9999
2410743;08.09.2014;31.12.9999
2410754;01.03.2018;31.12.9999
2410759;01.03.2018;31.12.9999
2410769;01.03.2018;31.12.9999
2410784;01.03.2018;31.12.9999
2410788;01.03.2018;31.12.9999
2410790;02.08.2016;31.12.9999
2410795;25.09.2017;31.12.9999
2410795;26.03.2019;31.12.9999
2410823;17.08.2015;31.12.9999
2410823;01.03.2019;31.12.9999
2410848;01.02.2018;31.12.9999
2410856;01.08.2011;31.12.9999
2410856;01.02.2018;31.12.9999
2410859;01.02.2018;31.12.9999
2410861;13.11.2018;31.12.9999
2410867;10.08.2007;31.12.9999
2410867;01.03.2018;31.12.9999
2410877;30.04.2009;31.12.9999
2410877;01.03.2018;31.12.9999
2410881;10.02.2014;31.12.9999
2410881;01.02.2018;31.12.9999
2410882;11.05.2005;31.12.9999
2410882;01.03.2018;31.12.9999
2410886;17.04.2020;31.12.9999
2410890;28.04.2008;31.12.9999
2410890;01.03.2018;31.12.9999
2410906;01.03.2018;31.12.9999
2410946;05.08.2010;31.12.9999
2410946;01.02.2018;31.12.9999
2410950;04.06.2013;31.12.9999
2410950;01.03.2018;31.12.9999
2410968;22.07.2013;31.12.9999
2410984;09.11.2016;31.12.9999
2410988;01.04.2013;31.12.9999
2410988;01.03.2018;31.12.9999
2410995;14.08.2013;31.12.9999
2410995;01.07.2019;31.12.9999
2410997;06.08.2015;31.12.9999
2410997;01.02.2018;31.12.9999
2411007;20.09.2013;31.12.9999
2411007;01.02.2018;31.12.9999
2411021;10.05.2011;31.12.9999
2411021;02.10.2015;31.12.9999
2411022;01.12.2015;31.12.9999
2411022;01.03.2020;31.12.9999
2411023;17.08.2012;31.12.9999
2411026;05.10.2009;31.12.9999
2411026;01.03.2018;31.12.9999
2411031;17.12.2015;31.12.9999
2411031;01.03.2018;31.12.9999
2411034;16.12.2013;31.12.9999
2411034;13.02.2020;31.12.9999
2411038;18.08.2008;31.12.9999
2411038;09.12.2008;31.12.9999
2411049;01.03.2018;31.12.9999
2411097;01.03.2018;31.12.9999
2411106;08.12.2014;31.12.9999
2411106;01.02.2018;31.12.9999
2411112;13.11.2019;31.12.9999
2411119;15.06.1999;31.12.9999
2411124;04.02.2015;31.12.9999
2411124;01.02.2018;31.12.9999
2411130;07.11.2014;31.12.9999
2411130;10.11.2014;31.12.9999
2411139;16.11.2015;31.12.9999
2411139;01.02.2018;31.12.9999
2411146;01.03.2018;31.12.9999
2411162;04.12.2007;31.12.9999
2411162;01.02.2018;31.12.9999
2411170;01.04.2009;31.12.9999
2411170;03.04.2015;31.12.9999
2411182;17.05.2011;31.12.9999
2411182;12.02.2019;31.12.9999
2411192;17.05.2012;31.12.9999
2411192;01.02.2018;31.12.9999
2411196;26.04.2016;31.12.9999
2411201;10.12.2008;31.12.9999
2411201;01.03.2018;31.12.9999
2411207;17.08.2009;31.12.9999
2411214;24.06.2013;31.12.9999
2411220;11.11.2015;31.12.9999
2411220;01.02.2018;31.12.9999
2411222;02.07.2012;31.12.9999
2411222;01.02.2018;31.12.9999
2411236;11.01.2016;31.12.9999
2411250;01.04.2009;31.12.9999
2411255;14.08.1989;31.12.9999
2411255;01.03.2018;31.12.9999
2411265;16.09.2012;31.12.9999
2411283;25.11.2008;31.12.9999
2411283;01.02.2011;31.12.9999
2411289;13.10.2010;31.12.9999
2411289;01.03.2018;31.12.9999
2411305;15.01.2007;31.12.9999
2411305;11.02.2013;31.12.9999
2411325;26.02.2009;31.12.9999
2411325;01.03.2018;31.12.9999
2411333;01.02.2016;31.12.9999
2411333;11.05.2018;31.12.9999
2411344;10.11.2014;31.12.9999
2411344;01.02.2018;31.12.9999
2411346;22.07.2013;31.12.9999
2411346;01.11.2017;31.12.9999
2411348;23.08.2012;31.12.9999
2411348;26.11.2012;31.12.9999
2411350;06.11.2018;31.12.9999
2411528;01.02.2018;31.12.9999
2411529;21.05.2014;31.12.9999
2411531;20.07.2020;31.12.9999
2411533;17.11.2017;31.12.9999
2411533;01.03.2018;31.12.9999
2411535;06.06.2002;31.12.9999
2411535;01.03.2018;31.12.9999
2411539;20.10.2011;31.12.9999
2411539;01.03.2018;31.12.9999
2411545;01.02.2018;31.12.9999
2411552;19.01.2009;31.12.9999
2411552;01.03.2018;31.12.9999
2411560;09.01.2014;31.12.9999
2411560;01.03.2018;31.12.9999
2411562;12.02.2004;31.12.9999
2411562;01.02.2018;31.12.9999
2411573;02.11.2015;31.12.9999
2411577;11.04.2014;31.12.9999
2411580;01.02.2018;31.12.9999
2411587;11.04.2016;31.12.9999
2411590;12.10.2012;31.12.9999
2411590;01.03.2018;31.12.9999
2411598;17.12.2012;31.12.9999
2411598;01.02.2018;31.12.9999
2411611;04.06.2015;31.12.9999
2411611;01.03.2018;31.12.9999
2411616;01.03.2018;31.12.9999
2411621;01.03.2018;31.12.9999
2411628;22.03.2005;31.12.9999
2411628;01.02.2018;31.12.9999
2411641;15.09.2015;31.12.9999
2411641;19.03.2019;31.12.9999
2411646;02.08.1993;31.12.9999
2411646;01.03.2018;31.12.9999
2411647;11.11.2013;31.12.9999
2411652;19.03.2014;31.12.9999
2411654;14.03.2018;31.12.9999
2411661;16.01.2008;31.12.9999
2411661;01.03.2018;31.12.9999
2411667;01.03.2018;31.12.9999
2411684;06.02.2014;31.12.9999
2411687;21.08.2009;31.12.9999
2411687;25.11.2011;31.12.9999
2411694;03.08.2015;31.12.9999
2411694;01.02.2018;31.12.9999
2411698;19.11.2015;31.12.9999
2411698;01.03.2018;31.12.9999
2411708;01.03.2007;31.12.9999
2411708;01.03.2018;31.12.9999
2411720;01.03.2018;31.12.9999
2411733;12.07.2019;31.12.9999
2411796;02.07.2020;31.12.9999
2411837;19.05.2016;31.12.9999
2411839;01.03.2018;31.12.9999
2411841;21.08.1995;31.12.9999
2411841;01.02.2018;31.12.9999
2411843;01.03.2018;31.12.9999
2411844;25.12.2014;31.12.9999
2411844;01.02.2018;31.12.9999
2411846;03.04.2006;31.12.9999
2411846;01.10.2020;31.12.9999
2411847;16.01.2015;31.12.9999
2411847;01.03.2018;31.12.9999
2411849;23.12.2016;31.12.9999
2411849;01.02.2018;31.12.9999
2411850;14.09.2015;31.12.9999
2411851;03.03.2003;31.12.9999
2411852;07.08.2012;31.12.9999
2411852;01.03.2018;31.12.9999
2411854;07.12.2016;31.12.9999
2411854;01.02.2018;31.12.9999
2411855;25.01.2002;31.12.9999
2411858;02.10.2009;31.12.9999
2411858;01.03.2018;31.12.9999
2411864;16.07.2015;31.12.9999
2411864;01.03.2018;31.12.9999
2411867;19.01.2011;31.12.9999
2411867;01.03.2018;31.12.9999
2411878;01.09.2014;31.12.9999
2411878;01.02.2018;31.12.9999
2411889;13.10.2003;31.12.9999
2411889;01.03.2018;31.12.9999
2411898;13.11.2003;31.12.9999
2411898;01.02.2011;31.12.9999
2411898;01.03.2018;31.12.9999
2411899;13.12.2010;31.12.9999
2411899;01.03.2018;31.12.9999
2411901;21.11.2001;31.12.9999
2411901;01.03.2018;31.12.9999
2411904;09.01.2014;31.12.9999
2411911;25.02.2019;31.12.9999
2411916;01.03.2018;31.12.9999
2411920;10.10.2016;31.12.9999
2411921;06.12.2011;31.12.9999
2411921;08.09.2016;31.12.9999
2411926;02.09.1999;31.12.9999
2411929;21.04.2009;31.12.9999
2411929;01.03.2018;31.12.9999
2411932;10.01.2014;31.12.9999
2411932;01.03.2018;31.12.9999
2411936;01.03.2018;31.12.9999
2411939;23.11.2012;31.12.9999
2411939;01.02.2018;31.12.9999
2411942;09.04.2012;31.12.9999
2411942;01.03.2018;31.12.9999
2411944;06.08.2015;31.12.9999
2411944;01.02.2018;31.12.9999
2411947;24.04.2009;31.12.9999
2411947;01.03.2018;31.12.9999
2411951;01.03.2018;31.12.9999
2411981;01.12.2009;31.12.9999
2411981;01.03.2018;31.12.9999
2411990;04.05.2010;31.12.9999
2411990;01.03.2018;31.12.9999
2412004;08.12.2009;31.12.9999
2412004;01.03.2018;31.12.9999
2412022;01.07.2015;31.12.9999
2412022;01.02.2018;31.12.9999
2412038;23.11.2015;31.12.9999
2412038;01.03.2018;31.12.9999
2412043;01.04.2013;31.12.9999
2412043;01.02.2018;31.12.9999
2412049;21.06.2016;31.12.9999
2412049;07.08.2018;31.12.9999
2412050;01.02.2018;31.12.9999
2412055;01.03.2010;31.12.9999
2412055;01.02.2018;31.12.9999
2412057;02.06.2016;31.12.9999
2412057;01.10.2018;31.12.9999
2412060;01.11.2004;31.12.9999
2412060;01.03.2018;31.12.9999
2412062;07.12.2015;31.12.9999
2412062;01.02.2018;31.12.9999
2412065;04.10.2006;31.12.9999
2412065;14.10.2013;31.12.9999
2412070;17.04.2015;31.12.9999
2412070;01.02.2018;31.12.9999
2412076;01.06.2016;31.12.9999
2412076;01.02.2018;31.12.9999
2412086;10.07.2015;31.12.9999
2412086;11.01.2019;31.12.9999
2412160;01.07.2009;31.12.9999
2412160;01.03.2018;31.12.9999
2412161;21.06.2006;31.12.9999
2412161;01.03.2018;31.12.9999
2412162;04.06.2006;31.12.9999
2412162;01.02.2018;31.12.9999
2412163;09.10.2017;31.12.9999
2412163;12.03.2018;31.12.9999
2412163;11.01.2019;31.12.9999
2412164;16.09.2013;31.12.9999
2412167;18.01.2018;31.12.9999
2412168;12.07.2010;31.12.9999
2412168;16.07.2010;31.12.9999
2412169;09.07.2012;31.12.9999
2412169;01.02.2018;31.12.9999
2412170;03.08.2009;31.12.9999
2412171;21.08.2014;31.12.9999
2412171;01.03.2018;31.12.9999
2412172;01.11.2004;31.12.9999
2412172;01.03.2018;31.12.9999
2412173;13.05.2013;31.12.9999
2412173;01.03.2018;31.12.9999
2412176;08.07.2015;31.12.9999
2412176;19.11.2018;31.12.9999
2412177;02.06.2014;31.12.9999
2412177;01.03.2018;31.12.9999
2412178;03.08.2015;31.12.9999
2412178;01.07.2019;31.12.9999
2412181;03.05.1995;31.12.9999
2412181;01.02.2018;31.12.9999
2412191;10.12.2013;31.12.9999
2412191;01.03.2018;31.12.9999
2412192;13.08.2012;31.12.9999
2412192;01.03.2018;31.12.9999
2412193;19.01.2015;31.12.9999
2412193;01.02.2018;31.12.9999
2412195;09.01.2014;31.12.9999
2412195;01.03.2018;31.12.9999
2412196;01.04.2013;31.12.9999
2412196;01.03.2018;31.12.9999
2412200;06.10.2000;31.12.9999
2412200;01.03.2018;31.12.9999
2412202;01.04.2002;31.12.9999
2412202;01.03.2018;31.12.9999
2412205;21.10.2015;31.12.9999
2412205;01.03.2018;31.12.9999
2412210;03.09.1994;31.12.9999
2412210;01.11.2008;31.12.9999
2412213;28.04.2014;31.12.9999
2412213;01.03.2018;31.12.9999
2412215;14.12.2010;31.12.9999
2412216;09.02.2009;31.12.9999
2412216;01.03.2018;31.12.9999
2412217;02.02.2010;31.12.9999
2412217;01.03.2018;31.12.9999
2412220;03.08.2009;31.12.9999
2412220;01.04.2013;31.12.9999
2412222;06.12.2001;31.12.9999
2412226;17.12.2014;31.12.9999
2412226;01.03.2018;31.12.9999
2412230;06.10.2016;31.12.9999
2412230;07.06.2018;31.12.9999
2412242;06.12.2013;31.12.9999
2412242;13.02.2014;31.12.9999
2412244;18.12.2012;31.12.9999
2412245;13.05.2013;31.12.9999
2412245;01.03.2018;31.12.9999
2412254;07.10.2014;31.12.9999
2412254;01.03.2018;31.12.9999
2412257;11.08.2014;31.12.9999
2412257;01.03.2018;31.12.9999
2412267;24.08.2009;31.12.9999
2412267;01.03.2018;31.12.9999
2412270;01.10.2014;31.12.9999
2412270;01.02.2018;31.12.9999
2412276;02.04.2010;31.12.9999
2412281;06.05.2014;31.12.9999
2412281;01.02.2018;31.12.9999
2412284;03.02.2014;31.12.9999
2412286;21.11.2001;31.12.9999
2412286;01.02.2011;31.12.9999
2412286;01.03.2018;31.12.9999
2412288;14.04.2014;31.12.9999
2412288;01.03.2018;31.12.9999
2412289;25.11.2011;31.12.9999
2412291;23.04.2002;31.12.9999
2412291;18.12.2012;31.12.9999
2412294;19.02.2016;31.12.9999
2412294;01.02.2018;31.12.9999
2412295;20.07.2005;31.12.9999
2412295;01.03.2018;31.12.9999
2412301;17.09.2012;31.12.9999
2412301;01.03.2018;31.12.9999
2412305;26.04.2016;31.12.9999
2412305;01.08.2019;31.12.9999
2412306;01.02.2018;31.12.9999
2412310;01.04.2005;31.12.9999
2412310;01.03.2018;31.12.9999
2412313;16.04.2012;31.12.9999
2412313;01.03.2018;31.12.9999
2412314;11.01.2011;31.12.9999
2412314;01.03.2018;31.12.9999
2412320;04.06.2012;31.12.9999
2412320;01.03.2018;31.12.9999
2412325;01.03.2018;31.12.9999
2412332;22.08.2016;31.12.9999
2412332;01.06.2018;31.12.9999
2412348;07.03.2019;31.12.9999
2412351;19.04.2002;31.12.9999
2412351;24.01.2019;31.12.9999
