tn;begin;end
2300026;01.10.2017;31.12.9999
2300045;02.01.2018;31.12.9999
2300114;03.08.2015;31.12.9999
2300141;02.12.2016;31.12.9999
2300149;01.01.2017;31.12.9999
2300179;20.08.2012;31.12.9999
2300212;01.01.2018;31.12.9999
2300250;01.02.2006;31.12.9999
2300254;05.08.2008;31.12.9999
2300285;01.07.2002;31.12.9999
2300285;08.12.2004;31.12.9999
2300324;25.11.2013;31.12.9999
2300340;01.11.2006;31.12.9999
2300385;01.01.2018;31.12.9999
2300391;01.12.2019;31.12.9999
2300394;22.10.2007;31.12.9999
2300410;01.09.2006;31.12.9999
2300413;12.05.2010;31.12.9999
2300435;01.10.2019;31.12.9999
2300450;01.06.2013;31.12.9999
2300464;31.12.2014;31.12.9999
2300469;01.09.2012;31.12.9999
2300487;14.11.2011;31.12.9999
2300498;07.05.2019;31.12.9999
2300517;16.01.2006;31.12.9999
2300524;01.11.2012;31.12.9999
2300580;05.02.2018;31.12.9999
2300597;15.07.2003;31.12.9999
2300617;01.01.2000;31.12.9999
2300684;10.11.2014;31.12.9999
2300692;23.03.2015;31.12.9999
2300700;01.07.2015;31.12.9999
2300712;01.10.2019;31.12.9999
2300752;16.06.2010;31.12.9999
2300753;05.11.2013;31.12.9999
2300754;04.11.2003;31.12.9999
2300790;26.05.2016;31.12.9999
2300792;01.12.2001;31.12.9999
2300792;02.12.2001;31.12.9999
2300799;07.06.1983;31.12.9999
2300805;15.12.2016;31.12.9999
2300817;13.08.1993;31.12.9999
2300859;01.01.2018;31.12.9999
2300861;01.01.2018;31.12.9999
2300864;01.01.2013;31.12.9999
2300866;31.07.2013;31.12.9999
2300867;16.02.2007;31.12.9999
2300872;01.01.2015;31.12.9999
2300889;01.10.2017;31.12.9999
2300892;01.01.2015;31.12.9999
2300897;02.01.2018;31.12.9999
2300910;01.10.2017;31.12.9999
2300916;02.09.2013;31.12.9999
2300918;01.06.2017;31.12.9999
2300920;01.06.2017;31.12.9999
2300921;20.07.2019;31.12.9999
2300933;01.02.2019;31.12.9999
2300938;02.01.2019;31.12.9999
2300960;01.01.2018;31.12.9999
2300965;01.10.2017;31.12.9999
2300991;01.02.2019;31.12.9999
2300993;10.09.2010;31.12.9999
2300994;01.10.2017;31.12.9999
2300995;03.12.2018;31.12.9999
2301000;01.01.2018;31.12.9999
2301001;26.06.2006;31.12.9999
2301011;02.01.2018;31.12.9999
2301018;01.10.2000;31.12.9999
2301020;01.10.1994;31.12.9999
2301029;01.03.2006;31.12.9999
2301038;01.11.1997;31.12.9999
2301102;13.02.2020;31.12.9999
2301105;05.03.2018;31.12.9999
2301108;01.07.2003;31.12.9999
2301112;01.07.1999;31.12.9999
2301114;01.10.2017;31.12.9999
2301115;01.10.2017;31.12.9999
2301122;01.01.2018;31.12.9999
2301146;01.06.2017;31.12.9999
2301149;09.01.2008;31.12.9999
2301150;04.07.2019;31.12.9999
2301152;24.04.2013;31.12.9999
2301165;27.03.2002;31.12.9999
2301179;15.02.2007;31.12.9999
2301188;18.12.2006;31.12.9999
2301196;13.02.2013;31.12.9999
2301200;30.01.2017;31.12.9999
2301204;17.04.2006;31.12.9999
2301212;21.07.2010;31.12.9999
2301215;10.01.2006;31.12.9999
2301217;01.10.2017;31.12.9999
2301224;22.09.2008;31.12.9999
2301225;05.03.2010;31.12.9999
2301231;13.05.2019;31.12.9999
2301233;01.10.2017;31.12.9999
2301234;13.05.2019;31.12.9999
2301235;18.02.2019;31.12.9999
2301237;01.01.2017;31.12.9999
2301239;25.03.2008;31.12.9999
2301241;01.01.2016;31.12.9999
2301244;04.04.2005;31.12.9999
2301245;01.01.2017;31.12.9999
2301247;22.01.2007;31.12.9999
2301248;01.01.2016;31.12.9999
2301252;01.09.2012;31.12.9999
2301253;01.01.2016;31.12.9999
2301259;01.10.2017;31.12.9999
2301263;23.07.2020;31.12.9999
2301265;01.07.2015;31.12.9999
2301266;01.10.2017;31.12.9999
2301270;01.03.1999;31.12.9999
2301273;01.04.1994;31.12.9999
2301278;18.09.2012;31.12.9999
2301282;01.01.2014;31.12.9999
2301284;13.04.2015;31.12.9999
2301286;01.07.2015;31.12.9999
2301289;01.12.1992;31.12.9999
2301292;29.04.2011;31.12.9999
2301296;01.11.2019;31.12.9999
2301306;01.01.2018;31.12.9999
2301324;26.04.1999;31.12.9999
2301349;01.10.2017;31.12.9999
2301410;01.07.1999;31.12.9999
2301410;01.12.2001;31.12.9999
2301416;01.04.1999;31.12.9999
2301422;01.01.2018;31.12.9999
2301443;05.01.2014;31.12.9999
2301447;01.01.2018;31.12.9999
2301448;04.02.2003;31.12.9999
2301449;15.01.2007;31.12.9999
2301450;01.11.2012;31.12.9999
2301451;02.11.2010;31.12.9999
2301451;01.01.2013;31.12.9999
2301459;30.12.2006;31.12.9999
2301463;01.12.2017;31.12.9999
2301471;01.12.2019;31.12.9999
2301476;17.11.2016;31.12.9999
2301477;25.12.2018;31.12.9999
2301485;18.02.2019;31.12.9999
2301486;11.05.2017;31.12.9999
2301487;23.04.2018;31.12.9999
2301488;01.10.2020;31.12.9999
2301489;01.11.2018;31.12.9999
2301490;21.08.2012;31.12.9999
2301491;01.10.2017;31.12.9999
2301492;01.07.2015;31.12.9999
2301493;02.10.2017;31.12.9999
2301494;01.01.2017;31.12.9999
2301495;12.05.2014;31.12.9999
2301496;18.10.1994;31.12.9999
2301498;11.05.2017;31.12.9999
2301505;05.05.2003;31.12.9999
2301506;23.01.2004;31.12.9999
2301508;01.03.2006;31.12.9999
2301509;03.12.2018;31.12.9999
2301510;17.04.2006;31.12.9999
2301517;01.08.2003;31.12.9999
2301519;01.10.2017;31.12.9999
2301520;30.03.2007;31.12.9999
2301529;01.01.1996;31.12.9999
2301532;01.10.2017;31.12.9999
2301535;03.02.2009;31.12.9999
2301536;16.01.2018;31.12.9999
2301537;01.01.2018;31.12.9999
2301538;26.01.1995;31.12.9999
2301539;01.10.2017;31.12.9999
2301541;01.01.2014;31.12.9999
2301542;23.01.2008;31.12.9999
2301545;01.10.2017;31.12.9999
2301545;28.05.2020;31.12.9999
2301546;28.01.2019;31.12.9999
2301548;01.01.2017;31.12.9999
2301549;26.08.2015;31.12.9999
2301550;05.02.2014;31.12.9999
2301551;15.09.2010;31.12.9999
2301552;08.11.2001;31.12.9999
2301553;11.08.2008;31.12.9999
2301554;28.02.2020;31.12.9999
2301555;12.10.2010;31.12.9999
2301556;12.05.2010;31.12.9999
2301557;01.01.2004;31.12.9999
2301558;22.09.2008;31.12.9999
2301559;05.04.2011;31.12.9999
2301560;15.07.2003;31.12.9999
2301561;09.07.2012;31.12.9999
2301564;07.09.2011;31.12.9999
2301565;01.02.2018;31.12.9999
2301566;06.06.2017;31.12.9999
2301567;01.01.2018;31.12.9999
2301568;03.09.2018;31.12.9999
2301569;15.09.2014;31.12.9999
2301570;10.02.2020;31.12.9999
2301571;02.05.2017;31.12.9999
2301572;01.11.2014;31.12.9999
2301574;02.07.2020;31.12.9999
2301575;09.01.2020;31.12.9999
2301576;03.01.2018;31.12.9999
2301577;11.05.2011;31.12.9999
2301578;26.06.2020;31.12.9999
2301579;06.10.2020;31.12.9999
2301580;05.05.2016;31.12.9999
2301582;09.01.2020;31.12.9999
2301583;09.01.2020;31.12.9999
2301584;02.01.2018;31.12.9999
2301585;24.07.2017;31.12.9999
2301587;02.01.2018;31.12.9999
2301588;01.10.2017;31.12.9999
2301589;24.07.2015;31.12.9999
2301590;01.01.2020;31.12.9999
2301591;01.10.2020;31.12.9999
2301592;20.07.2017;31.12.9999
2301595;19.12.2012;31.12.9999
2301597;01.12.2019;31.12.9999
2301601;23.01.2012;31.12.9999
2301607;01.08.2019;31.12.9999
2301608;02.01.2019;31.12.9999
2301609;01.12.2015;31.12.9999
2301610;01.01.2016;31.12.9999
2301612;30.01.2019;31.12.9999
2301613;01.01.2018;31.12.9999
2301614;01.10.2017;31.12.9999
2301615;01.01.2018;31.12.9999
2301616;01.11.2012;31.12.9999
2301618;20.05.2008;31.12.9999
2301620;01.07.2019;31.12.9999
2301623;02.07.2020;31.12.9999
2301624;01.08.2019;31.12.9999
2301626;26.05.2016;31.12.9999
2301627;21.09.2020;31.12.9999
2301629;16.10.2018;31.12.9999
2301630;01.01.2018;31.12.9999
2301631;01.11.2017;31.12.9999
2301633;13.10.2014;31.12.9999
2301634;01.10.2017;31.12.9999
2301635;01.01.2018;31.12.9999
2301636;25.11.2016;31.12.9999
2301638;25.11.2016;31.12.9999
2301639;01.01.2018;31.12.9999
2301640;02.03.2009;31.12.9999
2301641;12.09.2018;31.12.9999
2301642;28.12.2018;31.12.9999
2301643;01.01.2018;31.12.9999
2301644;09.04.2014;31.12.9999
2301645;10.06.2013;31.12.9999
2301647;01.10.2012;31.12.9999
2301649;01.01.2016;31.12.9999
2301650;02.01.2013;31.12.9999
2301651;27.03.2020;31.12.9999
2301652;01.02.2002;31.12.9999
2301654;01.08.2019;31.12.9999
2301656;11.02.2008;31.12.9999
2301657;05.10.2018;31.12.9999
2301658;01.10.2016;31.12.9999
2301661;02.07.2020;31.12.9999
2301663;03.04.2018;31.12.9999
2301665;01.01.2020;31.12.9999
2301667;01.10.2017;31.12.9999
2301668;01.10.2017;31.12.9999
2301671;01.10.2019;31.12.9999
2301672;01.09.2014;31.12.9999
2301673;01.10.2012;31.12.9999
2301674;01.01.2018;31.12.9999
2301675;01.10.2016;31.12.9999
2301676;03.01.2020;31.12.9999
2301677;01.10.2017;31.12.9999
2301678;02.01.2018;31.12.9999
2301679;01.01.2018;31.12.9999
2301680;01.01.2018;31.12.9999
2301683;01.01.2017;31.12.9999
2301686;01.10.2017;31.12.9999
2301690;01.03.2009;31.12.9999
2301692;01.12.2019;31.12.9999
2301696;01.09.1987;31.12.9999
2301700;10.06.2013;31.12.9999
2301701;03.06.2013;31.12.9999
2301702;07.02.2013;31.12.9999
2301704;01.10.2019;31.12.9999
2301705;25.07.2016;31.12.9999
2301706;04.10.2010;31.12.9999
2301707;01.10.2016;31.12.9999
2301716;01.01.2019;31.12.9999
2301717;25.10.2018;31.12.9999
2301720;06.08.2019;31.12.9999
2301725;04.12.2018;31.12.9999
2301732;03.01.2020;31.12.9999
2301733;24.07.2018;31.12.9999
2301734;01.06.2020;31.12.9999
2301735;24.01.2018;31.12.9999
2301736;19.08.2019;31.12.9999
2301737;09.10.2018;31.12.9999
2301739;11.10.2019;31.12.9999
2301740;09.10.2017;31.12.9999
2301742;15.12.2018;31.12.9999
2301745;01.02.2017;31.12.9999
2301746;01.01.2018;31.12.9999
2301747;09.01.2020;31.12.9999
2301748;02.01.2018;31.12.9999
2301749;01.08.2019;31.12.9999
2301750;26.03.2019;31.12.9999
2301751;01.11.2008;31.12.9999
2301752;01.10.2012;31.12.9999
2301753;01.10.2019;31.12.9999
2301754;07.02.2013;31.12.9999
2301755;01.08.2019;31.12.9999
2301756;09.01.2018;31.12.9999
2301758;01.01.2016;31.12.9999
2301759;01.06.2016;31.12.9999
2301764;21.12.2017;31.12.9999
2301766;16.09.2019;31.12.9999
2301767;04.02.2013;31.12.9999
2301770;01.01.2018;31.12.9999
2301771;24.12.2015;31.12.9999
2301773;05.03.2010;31.12.9999
2301774;22.10.2007;31.12.9999
2301776;31.12.2019;31.12.9999
2301777;01.01.2018;31.12.9999
2301779;01.08.2012;31.12.9999
2301789;01.01.2018;31.12.9999
2301790;01.10.2017;31.12.9999
2301792;03.10.2016;31.12.9999
2301793;02.01.2018;31.12.9999
2301794;01.01.2018;31.12.9999
2301795;01.08.2019;31.12.9999
2301796;01.11.2012;31.12.9999
2301798;01.07.2016;31.12.9999
2301799;01.10.2016;31.12.9999
2301800;01.01.2013;31.12.9999
2301801;01.10.2016;31.12.9999
