tn;begin;end
1000039;01.12.2011;31.12.9999
1000042;01.12.2011;31.12.9999
1000048;13.06.2018;31.12.9999
1000050;16.07.2013;31.12.9999
1000072;01.12.2016;31.12.9999
1000105;17.07.2018;31.12.9999
1000140;01.11.2006;31.12.9999
1000172;20.04.2017;31.12.9999
1000209;01.01.2010;31.12.9999
1000251;01.03.2019;31.12.9999
1000313;02.11.2017;31.12.9999
1000337;18.06.2001;31.12.9999
1000366;23.06.2014;31.12.9999
1000386;14.11.2003;31.12.9999
1000397;24.12.2018;31.12.9999
1000442;15.11.2010;31.12.9999
1000445;12.02.2018;31.12.9999
1000461;01.06.2017;31.12.9999
1000505;09.11.2010;31.12.9999
1000520;10.06.2013;31.12.9999
1000524;01.10.2019;31.12.9999
1000549;20.06.2016;31.12.9999
1000552;05.10.1987;31.12.9999
1000558;06.07.2019;31.12.9999
1000559;26.09.2016;31.12.9999
1000560;01.10.2008;31.12.9999
1000574;01.08.2014;31.12.9999
1000595;18.02.2013;31.12.9999
1000605;15.06.2012;31.12.9999
1000606;25.05.2003;31.12.9999
1000610;01.09.2012;31.12.9999
1000616;01.03.2006;31.12.9999
1000639;05.02.2019;31.12.9999
1000641;01.09.2020;31.12.9999
1000643;01.11.2011;31.12.9999
1000646;28.11.2011;31.12.9999
1000674;10.06.2013;31.12.9999
1000711;21.05.2012;31.12.9999
1000713;22.11.2012;31.12.9999
1000720;27.06.2016;31.12.9999
1000722;30.11.2017;31.12.9999
1000723;05.12.2017;31.12.9999
1000724;17.11.2008;31.12.9999
1000726;24.01.2007;31.12.9999
1000727;22.04.1997;31.12.9999
1000727;03.03.2008;31.12.9999
1000727;01.12.2017;31.12.9999
1000728;01.12.2017;31.12.9999
1000730;01.12.2017;31.12.9999
1000731;14.09.2020;31.12.9999
1000733;01.01.2010;31.12.9999
1000733;01.06.2019;31.12.9999
1000736;16.09.2019;31.12.9999
1000738;27.05.2005;31.12.9999
1000738;01.01.2010;31.12.9999
1000741;01.01.2010;31.12.9999
1000741;06.06.2016;31.12.9999
1000742;01.01.2010;31.12.9999
1000742;14.06.2012;31.12.9999
1000743;04.02.1985;31.12.9999
1000744;01.08.2015;31.12.9999
1000746;01.04.1999;31.12.9999
1000747;01.12.2011;31.12.9999
1000748;15.01.2007;31.12.9999
1000755;20.11.1998;31.12.9999
1000755;01.07.1999;31.12.9999
1000755;01.11.2000;31.12.9999
1000755;03.03.2008;31.12.9999
1000755;01.01.2010;31.12.9999
1000755;01.04.2014;31.12.9999
1000756;01.08.2013;31.12.9999
1000758;01.01.2001;31.12.9999
1000759;01.07.2020;31.12.9999
1000764;01.07.1999;31.12.9999
1000764;03.03.2008;31.12.9999
1000764;18.08.2008;31.12.9999
1000764;01.01.2010;31.12.9999
1000764;01.12.2017;31.12.9999
1000767;01.01.2018;31.12.9999
1000768;31.03.1993;31.12.9999
1000768;14.10.2004;31.12.9999
1000769;01.12.2017;31.12.9999
1000770;15.01.2019;31.12.9999
1000774;20.01.2020;31.12.9999
1000776;01.02.2011;31.12.9999
1000778;15.02.2019;31.12.9999
1000779;03.03.2008;31.12.9999
1000779;01.06.2018;31.12.9999
1000781;18.02.2019;31.12.9999
1000784;01.07.2020;31.12.9999
1000785;01.12.2017;31.12.9999
1000786;14.05.2018;31.12.9999
1000788;25.08.2014;31.12.9999
1000804;01.01.1986;31.12.9999
1000816;18.11.2016;31.12.9999
1000816;18.04.2017;31.12.9999
1000854;23.12.2019;31.12.9999
1000868;01.01.2012;31.12.9999
1000872;01.11.2003;31.12.9999
1000876;01.01.2010;31.12.9999
1000876;01.02.2018;31.12.9999
1000877;23.12.2019;31.12.9999
1000879;02.07.2018;31.12.9999
1000880;01.06.2018;31.12.9999
1000881;23.12.2019;31.12.9999
1000882;23.10.2007;31.12.9999
1000884;27.08.2012;31.12.9999
1000885;10.01.2000;31.12.9999
1000888;01.04.2016;31.12.9999
1000890;20.06.2019;31.12.9999
1000892;19.08.2016;31.12.9999
1000894;01.02.2020;31.12.9999
1000895;01.07.2020;31.12.9999
1000896;01.06.2007;31.12.9999
1000897;26.01.2005;31.12.9999
1000898;12.03.2008;31.12.9999
1000902;22.03.2016;31.12.9999
1000912;15.07.2019;31.12.9999
1000914;16.11.2018;31.12.9999
1000916;16.08.2019;31.12.9999
1000917;01.07.2013;31.12.9999
1000918;02.09.2019;31.12.9999
1000920;17.06.2002;31.12.9999
1000920;13.09.2019;31.12.9999
1000921;01.03.2019;31.12.9999
1000922;12.09.2019;31.12.9999
1000924;01.04.1998;31.12.9999
1000926;16.03.1998;31.12.9999
1000926;01.01.2010;31.12.9999
1000931;08.06.2020;31.12.9999
1000932;20.02.2020;31.12.9999
1000933;20.02.2020;31.12.9999
1000934;30.06.1999;31.12.9999
1000934;04.02.2008;31.12.9999
1000934;01.04.2013;31.12.9999
1000937;16.04.2007;31.12.9999
1000940;16.09.2020;31.12.9999
1000943;23.12.2019;31.12.9999
1000944;23.12.2019;31.12.9999
1000946;06.06.2001;31.12.9999
1000946;01.01.2010;31.12.9999
1000948;01.11.2019;31.12.9999
1000949;15.08.2002;31.12.9999
1000950;06.09.2010;31.12.9999
1000951;01.01.2016;31.12.9999
1000952;23.09.2013;31.12.9999
1000961;07.12.2017;31.12.9999
1000963;01.04.2019;31.12.9999
1000964;01.01.2010;31.12.9999
1000964;01.05.2013;31.12.9999
1000966;03.02.2020;31.12.9999
1000971;15.02.2012;31.12.9999
1000972;18.11.2014;31.12.9999
1000973;11.05.2011;31.12.9999
1000974;22.02.2020;31.12.9999
1000974;23.02.2020;31.12.9999
1000974;14.08.2020;31.12.9999
1000974;22.08.2020;31.12.9999
1000976;23.01.2012;31.12.9999
1000977;23.12.2019;31.12.9999
1000978;16.01.2012;31.12.9999
1000978;20.07.2020;31.12.9999
1000979;19.03.2012;31.12.9999
1000980;06.10.1992;31.12.9999
1000982;03.10.2016;31.12.9999
1000987;13.12.1988;31.12.9999
1000987;01.01.2010;31.12.9999
1000990;11.03.1998;31.12.9999
1000998;25.06.2002;31.12.9999
1000998;02.12.2002;31.12.9999
1000999;05.01.2000;31.12.9999
1001000;01.12.2011;31.12.9999
1001002;17.05.2012;31.12.9999
1001002;10.06.2012;31.12.9999
1001003;01.03.2001;31.12.9999
1001003;10.07.2012;31.12.9999
1001006;05.08.2015;31.12.9999
1001011;28.12.2018;31.12.9999
1001012;26.05.1999;31.12.9999
1001014;01.08.2019;31.12.9999
1001015;01.01.2010;31.12.9999
1001019;08.07.2019;31.12.9999
1001021;01.04.2009;31.12.9999
1001028;03.12.2018;31.12.9999
1001030;03.09.2018;31.12.9999
1001032;18.03.2002;31.12.9999
1001034;19.12.2016;31.12.9999
1001036;15.09.2020;31.12.9999
1001038;03.02.2020;31.12.9999
1001039;25.03.2019;31.12.9999
1001045;03.02.2020;31.12.9999
1001049;22.04.2019;31.12.9999
1001051;23.12.2019;31.12.9999
1001052;11.05.2011;31.12.9999
1001053;24.07.2012;31.12.9999
1001054;03.02.2020;31.12.9999
1001055;20.02.2020;31.12.9999
1001056;01.01.2015;31.12.9999
1001057;01.01.2015;31.12.9999
