;Табельный номер;Количество ошибок
0;600172;4
1;600547;3
2;601287;2
3;601340;2
4;601484;2
5;601566;2
6;601589;2
7;601647;2
8;601823;2
9;601900;4
10;601985;3
11;602081;2
12;602147;2
13;602234;2
14;602248;2
15;602290;2
16;602385;2
17;602396;7
18;602405;8
19;602408;2
20;602410;2
21;602411;2
22;602415;4
23;602421;3
24;602422;2
25;602424;3
26;602426;4
27;602450;2
28;602452;2
29;602459;2
30;602473;2
31;602474;2
32;602482;3
33;602497;3
34;602501;3
35;602505;4
36;602508;2
37;602512;2
38;602517;2
39;602565;2
40;602566;6
41;602579;2
42;602610;3
43;602612;2
44;602621;2
45;602627;5
46;602632;2
47;602634;3
48;602638;3
49;602641;2
50;602644;2
51;602651;5
52;602656;2
53;602664;2
54;602667;3
55;602669;2
56;602673;2
57;602695;6
58;602698;3
59;602700;4
60;602701;2
61;602702;3
62;602704;2
63;602706;2
64;602714;3
65;602715;2
66;602717;2
67;602718;2
68;602720;4
69;602725;3
70;602730;3
71;602733;2
72;602743;2
73;602748;3
74;602753;2
75;602760;4
76;602764;2
77;602776;2
78;602777;2
79;602778;5
80;602785;2
81;602790;2
82;602791;2
83;602802;3
84;602803;2
85;602804;3
86;602808;3
87;602810;4
88;602814;2
89;602823;2
90;602825;3
91;602826;3
92;602829;3
93;602830;5
94;602832;3
95;602841;3
96;602842;4
97;602843;2
98;602849;2
99;602850;3
100;602851;2
101;602856;2
102;602857;2
103;602858;2
104;602859;2
105;602865;3
106;602868;3
107;602869;2
108;602873;2
109;602885;2
110;602886;2
111;602891;2
112;602896;2
113;602902;2
114;602903;4
115;602904;2
116;602907;3
117;602911;5
118;602912;2
119;602920;2
120;602925;3
121;602929;3
122;602932;2
123;602933;2
124;602937;2
125;602941;2
126;602944;2
127;602949;2
128;602953;2
129;602954;2
130;602957;3
131;602966;2
132;602969;3
133;602971;3
134;602974;2
135;602976;3
136;602978;4
137;602983;3
138;602985;3
139;602987;3
140;602988;2
141;602992;3
142;602999;5
143;603006;2
144;603008;2
145;603009;2
146;603010;2
147;603024;3
148;603027;2
149;603028;2
150;603031;2
151;603041;4
152;603043;2
153;603047;3
154;603048;4
155;603049;2
156;603051;3
157;603053;3
158;603062;2
159;603064;2
160;603069;3
161;603070;2
162;603071;2
163;603072;3
164;603075;3
165;603077;3
166;603079;2
167;603080;2
168;603081;2
169;603082;2
170;603086;2
171;603088;2
172;603094;2
173;603095;2
174;603096;2
175;603099;2
176;603100;2
177;603103;3
178;603110;3
179;603114;2
180;603115;2
181;603118;2
182;603119;3
183;603124;2
184;603125;2
185;603127;2
186;603128;2
187;603133;2
188;603135;2
189;603136;3
190;603140;2
191;603142;2
192;603143;2
193;603144;2
194;603145;3
195;603146;2
196;603150;2
197;603151;2
198;603152;3
199;603156;2
200;603157;2
201;603158;2
202;603159;2
203;603161;3
204;603162;2
205;603163;2
206;603165;3
207;603166;2
208;603170;2
209;603171;4
210;603176;2
211;603180;2
212;603183;3
213;603187;2
214;603194;2
215;603196;2
216;603197;2
217;603198;2
218;603204;2
219;603207;3
220;603210;2
221;603211;3
222;603212;2
223;603215;3
224;603220;2
225;603221;3
226;603222;3
227;603226;3
228;603228;2
229;603230;6
230;603231;2
231;603232;2
232;603233;3
233;603234;3
234;603237;2
235;603242;2
236;603243;2
237;603246;3
238;603247;3
239;603253;2
240;603254;2
241;603258;2
242;603259;2
243;603265;4
244;603266;3
245;603277;2
246;603284;2
247;603288;3
248;603291;3
249;603293;4
250;603294;4
251;603295;2
252;603296;2
253;603302;3
254;603303;2
255;603305;3
256;603308;2
257;603312;2
258;603313;3
259;603314;5
260;603315;4
261;603317;2
262;603318;3
263;603319;2
264;603321;2
265;603322;3
266;603326;4
267;603331;2
268;603342;2
269;603344;4
270;603345;2
271;603348;2
272;603350;2
273;603351;2
274;603353;3
275;603358;2
276;603360;2
277;603362;3
278;603365;2
279;603367;5
280;603368;2
281;603370;4
282;603376;2
283;603380;2
284;603383;2
285;603388;2
286;603389;2
287;603390;2
288;603391;2
289;603392;4
290;603396;2
291;603399;3
292;603401;2
