tn;begin;end
1400019;13.09.2012;31.12.9999
1400040;06.02.2015;31.12.9999
1400114;01.07.2008;31.12.9999
1400130;29.01.2018;30.12.9999
1400147;07.02.2013;31.12.9999
1400157;27.01.1987;31.12.9999
1400158;01.11.2006;31.12.9999
1400375;01.02.2012;31.12.9999
1400397;25.03.1980;31.12.9999
1400499;29.05.2018;31.12.9999
1400613;13.09.2012;31.12.9999
1400737;21.02.2019;31.12.9999
1400768;01.10.2014;31.12.9999
1400912;01.10.2005;31.12.9999
1400976;03.06.2008;31.12.9999
1400991;01.02.1996;31.12.9999
1400992;02.10.1992;31.12.9999
1400996;17.08.2018;31.12.9999
1400999;01.07.2019;31.12.9999
1401003;01.07.2019;31.12.9999
1401006;01.01.2007;31.12.9999
1401010;21.12.2007;31.12.9999
1401016;01.06.2008;31.12.9999
1401025;01.07.2012;31.12.9999
1401034;01.07.2012;31.12.9999
1401035;21.10.2019;31.12.9999
1401037;20.01.2009;31.12.9999
1401039;24.08.2007;31.12.9999
1401040;01.11.1983;31.12.9999
1401043;10.06.2008;31.12.9999
1401047;15.08.1994;31.12.9999
1401060;30.09.1985;31.12.9999
1401085;05.05.1992;31.12.9999
1401223;01.10.2009;31.12.9999
1401230;01.02.2010;31.12.9999
1401232;25.09.2017;31.12.9999
1401242;21.01.2010;31.12.9999
1401245;22.07.2011;31.12.9999
1401257;14.08.1984;31.12.9999
1401258;19.12.1985;31.12.9999
1401264;01.11.1996;31.12.9999
1401273;01.01.2019;31.12.9999
1401277;04.04.2013;31.12.9999
1401279;05.12.2011;31.12.9999
1401301;14.06.2016;31.12.9999
1401312;16.07.2012;31.12.9999
1401318;02.07.2012;31.12.9999
1401320;02.07.2012;31.12.9999
1401343;10.06.2008;31.12.9999
1401349;01.01.2008;31.12.9999
1401350;01.01.2008;31.12.9999
1401351;01.05.2016;31.12.9999
1401353;01.07.2008;31.12.9999
1401354;01.01.2008;31.12.9999
1401356;01.08.2012;31.12.9999
1401357;01.05.2016;31.12.9999
1401391;01.11.2006;31.12.9999
1401393;16.07.2012;31.12.9999
1401394;21.09.2010;31.12.9999
1401397;16.07.2012;31.12.9999
1401399;05.02.2018;31.12.9999
1401400;23.11.2018;31.12.9999
1401403;16.07.2012;31.12.9999
1401403;05.02.2018;31.12.9999
1401404;25.10.2019;31.12.9999
