tn;begin;end
1500018;18.06.2019;31.12.9999
1500043;16.01.2017;31.12.9999
1500064;29.03.2019;31.12.9999
1500207;24.04.2006;31.12.9999
1500211;01.01.2016;31.12.9999
1500281;15.02.2017;31.12.9999
1500283;01.01.2014;31.12.9999
1500284;01.03.2011;31.12.9999
1500285;18.03.2019;31.12.9999
1500310;03.05.2018;31.12.9999
1500326;01.06.2018;31.12.9999
1500328;01.01.2019;31.12.9999
1500348;01.01.1993;31.12.9999
1500348;19.06.2019;31.12.9999
1500360;01.01.2017;31.12.9999
1500361;01.01.1993;31.12.9999
1500361;02.02.2000;31.12.9999
1500361;06.05.2015;31.12.9999
1500363;01.01.2018;31.12.9999
1500368;13.02.1989;31.12.9999
1500368;01.01.2019;31.12.9999
1500369;01.01.2007;31.12.9999
1500385;15.08.1982;31.12.9999
1500385;03.06.1991;31.12.9999
1500385;30.12.2016;31.12.9999
1500403;16.03.2020;31.12.9999
1500408;01.05.2015;31.12.9999
1500420;01.02.2010;31.12.9999
1500421;01.03.2014;31.12.9999
1500427;01.01.1993;31.12.9999
1500427;15.05.2015;31.12.9999
1500439;07.06.1994;31.12.9999
1500461;06.05.2015;31.12.9999
1500463;17.11.2014;31.12.9999
1500470;01.01.2018;31.12.9999
1500471;06.05.1987;31.12.9999
1500471;15.07.2002;31.12.9999
1500472;11.11.2019;31.12.9999
1500474;01.01.2020;31.12.9999
1500487;02.12.1997;31.12.9999
1500496;07.05.2015;31.12.9999
1500506;01.07.2015;31.12.9999
1500524;01.02.2017;31.12.9999
1500535;01.07.2015;31.12.9999
1500536;15.06.1987;31.12.9999
1500546;27.10.2006;31.12.9999
1500559;18.01.2000;31.12.9999
1500583;01.01.2008;31.12.9999
1500583;01.01.2020;31.12.9999
1500584;05.05.1999;31.12.9999
1500585;16.11.2018;31.12.9999
1500589;01.07.2014;31.12.9999
1500591;01.01.2012;31.12.9999
1500621;12.01.1998;31.12.9999
1500625;19.06.2019;31.12.9999
1500630;24.12.2018;31.12.9999
1500639;01.01.2019;31.12.9999
1500648;26.12.2018;31.12.9999
1500650;03.09.2012;31.12.9999
1500659;01.07.2013;31.12.9999
1500660;15.03.2017;31.12.9999
1500662;01.01.2010;31.12.9999
1500662;01.11.2014;31.12.9999
1500664;03.02.2014;31.12.9999
1500665;11.07.2019;31.12.9999
1500666;08.05.2015;31.12.9999
1500672;19.06.2017;31.12.9999
1500681;06.05.2002;31.12.9999
1500681;30.12.2016;31.12.9999
1500682;01.01.2016;31.12.9999
1500685;01.09.1993;31.12.9999
1500687;28.06.2002;31.12.9999
1500688;02.09.2002;31.12.9999
1500690;01.01.2014;31.12.9999
1500693;16.07.2018;31.12.9999
1500701;01.01.2010;31.12.9999
1500701;14.09.2020;31.12.9999
1500704;01.03.2007;31.12.9999
1500704;01.01.2016;31.12.9999
1500705;01.11.2007;31.12.9999
1500705;01.08.2016;31.12.9999
1500714;01.11.2005;31.12.9999
1500718;06.02.1985;31.12.9999
1500720;01.07.1983;31.12.9999
1500722;02.08.1999;31.12.9999
1500722;01.01.2011;31.12.9999
1500722;29.03.2019;31.12.9999
1500723;25.03.2019;31.12.9999
1500724;01.07.2015;31.12.9999
1500729;29.10.1984;31.12.9999
1500729;01.06.1987;31.12.9999
1500734;01.07.2014;31.12.9999
1500738;01.01.2020;31.12.9999
1500742;06.05.1996;31.12.9999
1500748;01.01.1993;31.12.9999
1500748;01.04.2020;31.12.9999
1500750;01.07.2015;31.12.9999
1500753;01.01.2020;31.12.9999
1500755;01.07.2014;31.12.9999
1500766;04.04.1988;31.12.9999
1500766;01.01.2020;31.12.9999
1500768;01.07.2015;31.12.9999
1500775;19.09.1988;31.12.9999
1500776;15.04.1996;31.12.9999
1500777;12.05.1987;31.12.9999
1500777;01.01.2014;31.12.9999
1500798;04.02.1994;31.12.9999
1500805;25.03.1999;31.12.9999
1500808;01.01.2018;31.12.9999
1500826;25.11.1991;31.12.9999
1500879;01.07.2014;31.12.9999
1500880;07.08.2019;31.12.9999
1500889;03.12.1998;31.12.9999
1500889;17.05.2011;31.12.9999
1500896;15.04.2019;31.12.9999
1500905;01.01.2007;31.12.9999
1500910;01.12.1993;31.12.9999
1500910;01.07.2015;31.12.9999
1500914;26.12.2016;31.12.9999
1500916;01.01.2018;31.12.9999
1500916;01.01.2019;31.12.9999
1500919;21.08.2013;31.12.9999
1500926;01.01.2020;31.12.9999
1500935;27.11.2018;31.12.9999
1500936;15.07.1991;31.12.9999
1500936;01.07.2015;31.12.9999
1500939;18.09.2003;31.12.9999
1500939;01.01.2018;31.12.9999
1500943;01.01.2015;31.12.9999
1500944;21.03.2005;31.12.9999
1500946;01.01.2015;31.12.9999
1500948;01.12.2016;31.12.9999
1500954;14.02.2001;31.12.9999
1500956;28.10.1996;31.12.9999
1500957;30.06.1999;31.12.9999
1500957;01.07.2015;31.12.9999
