tn;begin;end
800007;01.11.2018;31.12.9999
800015;26.05.2014;31.12.9999
800018;01.03.2016;31.12.9999
800019;15.04.2019;31.12.9999
800021;07.08.2017;31.12.9999
800026;04.08.2016;31.12.9999
800029;01.11.2018;31.12.9999
800037;01.11.2018;31.12.9999
800045;01.10.2015;31.12.9999
800066;09.07.2013;31.12.9999
800079;07.05.2019;31.12.9999
800104;12.09.2017;31.12.9999
800115;01.04.2011;31.12.9999
800117;28.01.2020;31.12.9999
800122;01.11.2018;31.12.9999
800123;29.04.2019;31.12.9999
800124;01.11.2018;31.12.9999
800130;01.12.2017;31.12.9999
800134;17.12.2019;31.12.9999
800135;28.03.2018;31.12.9999
800138;01.11.2018;31.12.9999
800143;02.10.2017;31.12.9999
800153;01.07.2014;31.12.9999
800161;29.04.2011;31.12.9999
800164;01.11.2018;31.12.9999
800167;16.06.2008;31.12.9999
800169;18.01.2018;31.12.9999
800170;14.08.2017;31.12.9999
800171;01.01.2013;31.12.9999
800177;30.09.2020;31.12.9999
800215;01.04.2019;31.12.9999
800228;08.11.2011;31.12.9999
800231;03.06.2019;31.12.9999
800234;01.11.2018;31.12.9999
800236;15.01.2018;31.12.9999
800238;01.02.2019;31.12.9999
800242;28.07.2015;31.12.9999
800245;22.01.2018;31.12.9999
800266;01.09.2008;31.12.9999
800266;01.06.2020;31.12.9999
800268;15.01.2019;31.12.9999
800272;19.05.2012;31.12.9999
800276;01.11.2013;31.12.9999
800280;14.08.2017;31.12.9999
800284;14.08.2017;31.12.9999
800285;07.08.2017;31.12.9999
800285;02.06.2020;31.12.9999
800288;28.08.2017;31.12.9999
800289;01.08.2008;31.12.9999
800290;14.08.2017;31.12.9999
800295;03.02.2004;31.12.9999
800297;01.11.2018;31.12.9999
800299;17.11.1997;31.12.9999
800300;24.01.2018;31.12.9999
800303;01.05.2007;31.12.9999
800307;04.02.2008;31.12.9999
800308;01.09.2017;31.12.9999
800309;01.08.2018;31.12.9999
800311;01.11.2013;31.12.9999
800312;12.08.2017;31.12.9999
800316;30.05.2018;31.12.9999
800317;24.08.2017;31.12.9999
800318;13.08.2019;31.12.9999
800327;14.08.2019;31.12.9999
800334;01.11.2018;31.12.9999
800335;01.05.2012;31.12.9999
800338;12.03.2018;31.12.9999
800339;01.08.2017;31.12.9999
800339;23.06.2020;31.12.9999
800340;07.08.2017;31.12.9999
800342;01.11.2018;31.12.9999
800343;07.08.2017;31.12.9999
800344;01.11.2018;31.12.9999
800345;01.11.2018;31.12.9999
800346;01.11.2018;31.12.9999
800347;01.11.2018;31.12.9999
800348;01.11.2018;31.12.9999
800351;05.07.2011;31.12.9999
800352;01.12.2017;31.12.9999
800353;01.02.2014;31.12.9999
800354;01.11.2018;31.12.9999
800355;01.08.2017;31.12.9999
800356;01.03.2016;31.12.9999
800357;01.11.2018;31.12.9999
800359;01.11.2018;31.12.9999
800362;14.08.2017;31.12.9999
800366;14.08.2017;31.12.9999
800367;01.11.2018;31.12.9999
800368;12.03.2018;31.12.9999
800369;16.08.2019;31.12.9999
800370;12.04.2011;31.12.9999
800371;10.08.2020;31.12.9999
800374;05.02.2018;31.12.9999
800376;07.08.2017;31.12.9999
800377;04.03.2011;31.12.9999
800377;12.05.2020;31.12.9999
800378;12.05.2020;31.12.9999
800380;07.08.2017;31.12.9999
800382;01.10.2014;31.12.9999
800383;06.05.2020;31.12.9999
800386;07.08.2017;31.12.9999
800388;27.07.2018;31.12.9999
800389;01.03.2019;31.12.9999
800391;11.01.2009;31.12.9999
800396;01.04.2014;31.12.9999
800397;02.12.2019;31.12.9999
800398;28.06.2019;31.12.9999
800398;21.04.2020;31.12.9999
800399;14.08.2017;31.12.9999
800404;20.05.2019;31.12.9999
800418;01.09.2016;31.12.9999
800420;01.07.2002;31.12.9999
800423;08.07.2002;31.12.9999
800425;01.03.2019;31.12.9999
800428;01.11.2018;31.12.9999
800440;01.11.2018;31.12.9999
800441;25.08.2017;31.12.9999
800444;07.02.2018;31.12.9999
800445;25.07.2019;31.12.9999
800446;13.11.2019;31.12.9999
800446;10.06.2020;31.12.9999
800447;01.11.2018;31.12.9999
800449;07.08.2017;31.12.9999
800450;24.02.2009;31.12.9999
800452;01.08.2012;31.12.9999
800453;03.08.2015;31.12.9999
800459;10.10.2007;31.12.9999
800460;01.11.2018;31.12.9999
800461;01.11.2018;31.12.9999
800463;09.01.2014;31.12.9999
800464;15.09.2008;31.12.9999
800466;01.11.2018;31.12.9999
800467;01.11.2018;31.12.9999
800469;01.11.2018;31.12.9999
800471;01.11.2018;31.12.9999
800472;01.02.2000;31.12.9999
800474;05.12.2016;31.12.9999
800475;16.03.2015;31.12.9999
800476;15.06.2010;31.12.9999
800478;01.06.2016;31.12.9999
800481;01.11.2018;31.12.9999
800482;02.11.2019;31.12.9999
800483;01.06.2016;31.12.9999
800484;02.03.2020;31.12.9999
800486;07.08.2017;31.12.9999
800487;01.04.2011;31.12.9999
800489;02.02.2009;31.12.9999
800490;01.06.2012;31.12.9999
800491;01.06.2010;31.12.9999
800492;15.06.2010;31.12.9999
800493;09.12.2013;31.12.9999
800494;01.01.2009;31.12.9999
800495;01.03.2013;31.12.9999
800496;01.05.2008;31.12.9999
800497;13.06.2012;31.12.9999
800498;02.05.2012;31.12.9999
800499;01.04.2011;31.12.9999
