tn;begin;end
2500009;05.11.2019;31.12.9999
2500033;06.09.2013;31.12.9999
2500051;19.01.2009;31.12.2999
2500076;01.10.2013;31.12.9999
2500078;20.02.2008;31.12.9999
2500079;01.10.2013;31.12.9999
2500081;01.05.2009;31.12.9999
2500082;12.03.2008;31.12.9999
2500090;01.06.2007;31.12.9999
2500090;01.06.2016;31.12.9999
2500095;06.07.2012;31.12.9999
2500097;01.01.2009;31.12.9999
2500100;05.08.2019;31.12.9999
2500104;25.08.2008;31.12.9999
2500129;01.02.2011;31.12.2999
2500131;01.11.2019;31.12.9999
2500137;20.03.2007;31.12.9999
2500138;15.11.1996;31.12.9999
2500145;01.05.2010;31.12.9999
2500155;01.10.2007;31.12.2999
2500161;16.03.2017;31.12.9999
2500164;01.02.2018;31.12.9999
2500165;26.12.2005;31.12.9999
2500166;28.08.2020;31.12.9999
2500167;30.11.2011;31.12.2999
2500168;02.07.2001;31.12.2999
2500176;01.04.2018;31.12.9999
2500178;18.08.2015;31.12.2999
2500183;01.04.2018;31.12.9999
2500185;19.11.2015;31.12.2999
2500190;05.08.2019;31.12.9999
2500203;01.01.2016;31.12.9999
2500204;26.06.2007;31.12.2999
2500208;15.10.2007;31.12.2999
2500209;01.10.2007;31.12.2999
2500210;01.12.2017;31.12.9999
2500213;13.04.2020;31.12.9999
2500215;14.04.2009;31.12.2999
2500216;01.04.2009;31.12.9999
2500217;01.04.2018;31.12.9999
2500218;20.03.2007;31.12.9999
2500219;01.02.2018;31.12.9999
2500221;20.02.2008;31.12.9999
2500227;04.06.2007;31.12.9999
2500228;28.10.1991;31.12.9999
2500231;19.03.2007;31.12.9999
2500234;01.02.2018;31.12.9999
2500235;01.01.2019;31.12.9999
2500236;01.10.2007;31.12.2999
2500252;13.04.2020;31.12.9999
2500254;18.03.2009;31.12.2999
2500254;06.10.2015;31.12.9999
2500258;28.05.2007;31.12.9999
2500267;11.03.2008;31.12.2999
2500267;01.01.2009;31.12.9999
2500269;16.08.2010;31.12.2999
2500272;25.01.2010;31.12.2999
2500273;06.04.2009;31.12.2999
2500273;01.06.2016;31.12.9999
2500276;01.10.2007;31.12.2999
2500278;01.10.2007;31.12.2999
2500278;14.04.2014;31.12.9999
2500279;02.05.2007;31.12.2999
2500279;01.01.2009;31.12.9999
2500280;25.08.2008;31.12.9999
2500280;01.03.2012;31.12.9999
2500281;02.05.2007;31.12.2999
2500281;01.03.2012;31.12.9999
2500283;24.01.2008;31.12.2999
2500283;03.10.2013;31.12.9999
2500286;01.09.2014;31.12.9999
2500287;01.07.2009;31.12.2999
2500288;07.04.2014;31.12.9999
2500289;01.06.2009;31.12.2999
2500290;03.08.2015;31.12.9999
2500291;14.05.2007;31.12.2999
2500293;01.10.2013;31.12.9999
2500294;09.06.2020;31.12.9999
2500295;01.10.2013;31.12.9999
2500296;16.06.2008;31.12.2999
2500297;01.06.2017;31.12.9999
2500300;15.04.2019;31.12.9999
2500301;01.10.2013;31.12.9999
2500303;26.05.2010;31.12.2999
2500303;04.06.2012;31.12.9999
2500304;01.10.2008;31.12.2999
2500313;14.02.2011;31.12.9999
2500313;01.11.2019;31.12.9999
2500320;01.10.2007;31.12.2999
2500320;01.06.2016;31.12.9999
2500321;25.02.2019;31.12.9999
2500325;01.01.2014;31.12.9999
2500327;06.08.2019;31.12.9999
2500328;01.07.2016;31.12.9999
2500330;24.07.2009;31.12.9999
2500331;01.10.2007;31.12.9999
2500333;01.06.2018;31.12.9999
2500334;08.09.2008;31.12.9999
2500336;16.07.2007;31.12.2999
2500337;03.03.2008;31.12.9999
2500338;09.02.2009;31.12.9999
2500340;01.01.2014;31.12.2999
2500342;23.05.2007;31.12.2999
2500342;02.04.2012;31.12.9999
2500345;01.06.2018;31.12.9999
2500346;02.03.2020;31.12.9999
2500347;07.06.2010;31.12.2999
2500348;28.02.2011;31.12.2999
2500352;01.07.2016;31.12.2999
2500354;15.07.2019;31.12.9999
2500356;01.10.2007;31.12.2999
2500356;01.12.2017;31.12.9999
2500358;01.07.2014;31.12.2999
2500365;06.12.2017;31.12.2999
2500373;01.10.2014;31.12.9999
2500378;01.06.2018;31.12.9999
2500384;05.11.2019;31.12.9999
2500389;01.04.2017;31.12.9999
2500390;30.01.2012;31.12.9999
2500396;25.05.2010;31.12.2999
2500397;01.07.2016;31.12.2999
2500399;09.06.2020;31.12.9999
2500400;01.07.2010;31.12.2999
2500409;19.10.2015;31.12.9999
2500411;19.03.2007;31.12.9999
2500414;01.10.2007;31.12.9999
2500420;06.10.2015;31.12.2999
2500421;02.07.2012;31.12.9999
2500423;03.09.2014;31.12.9999
2500425;01.01.2012;31.12.2999
2500426;07.02.2011;31.12.2999
2500426;14.05.2012;31.12.9999
2500427;06.05.2019;31.12.9999
2500428;01.03.2012;31.12.2999
2500430;01.10.2007;31.12.2999
2500430;23.01.2012;31.12.9999
2500435;04.02.2008;31.12.2999
2500435;01.09.2014;31.12.9999
2500436;22.04.2019;31.12.9999
2500440;29.08.2011;31.12.9999
2500441;19.09.2012;31.12.9999
2500442;01.07.2016;31.12.9999
2500443;01.10.2012;31.12.9999
2500447;03.03.2008;31.12.2999
2500447;25.04.2012;31.12.9999
2500448;22.06.2018;31.12.9999
2500449;11.01.2010;31.12.9999
2500450;01.07.2016;31.12.9999
2500451;26.11.2002;31.12.9999
2500452;01.02.2018;31.12.9999
2500453;29.07.2013;31.12.9999
2500454;25.09.2020;31.12.9999
2500455;09.03.2010;31.12.9999
2500457;12.10.2020;31.12.9999
2500458;09.11.2018;31.12.9999
2500459;02.11.2015;31.12.9999
2500460;31.12.2019;31.12.9999
2500461;02.11.2009;31.12.9999
2500462;07.04.2016;31.12.9999
2500463;07.04.2016;31.12.9999
2500464;01.10.2007;31.12.2999
2500465;13.01.2015;31.12.9999
2500466;30.12.2014;31.12.9999
