tn;begin;end
1600009;13.03.2017;31.12.9999
1600027;16.05.2019;31.12.9999
1600048;09.01.2001;31.12.9999
1600071;25.01.2018;31.12.9999
1600116;01.03.2018;31.12.9999
1600151;01.03.2009;31.12.9999
1600213;01.03.2004;31.12.9999
1600225;15.04.2009;31.12.9999
1600289;12.04.1993;31.12.9999
1600290;01.01.2003;31.12.9999
1600337;01.02.2001;31.12.9999
1600407;03.12.2008;31.12.9999
1600408;02.03.2020;31.12.9999
1600409;12.09.1996;31.12.9999
1600451;27.02.1988;31.12.9999
1600455;17.07.2004;31.12.9999
1600459;16.10.1991;31.12.9999
1600460;10.06.2020;31.12.9999
1600461;12.05.2015;31.12.9999
1600489;02.12.2017;31.12.9999
1600496;12.11.2012;31.12.9999
1600497;30.06.2006;31.12.9999
1600500;21.02.1984;31.12.9999
1600517;02.04.2007;31.12.9999
1600559;08.06.2018;31.12.9999
1600583;01.05.2018;31.12.9999
1600593;28.05.2014;31.12.9999
1600595;09.09.2014;31.12.9999
1600599;15.10.2009;31.12.9999
1600616;11.02.1992;31.12.9999
1600633;12.02.2019;31.12.9999
1600636;09.03.2005;31.12.9999
1600638;01.02.2019;31.12.9999
1600639;27.09.2004;31.12.9999
1600640;27.02.2015;31.12.9999
1600641;24.12.2010;31.12.9999
1600643;26.10.2012;31.12.9999
1600644;23.03.2009;31.12.9999
1600645;10.07.2015;31.12.9999
1600650;01.03.2006;31.12.9999
1600651;16.06.2003;31.12.9999
1600652;23.06.2014;31.12.9999
1600653;05.04.2005;31.12.9999
1600657;09.01.2019;31.12.9999
1600659;01.01.2011;31.12.9999
1600662;06.05.2020;31.12.9999
1600665;10.05.2016;31.12.9999
1600666;17.01.2020;31.12.9999
1600667;30.05.2006;31.12.9999
1600668;09.11.2016;31.12.9999
1600671;03.09.2007;31.12.9999
1600672;01.11.2016;31.12.9999
1600673;05.06.2008;31.12.9999
1600674;19.01.2009;31.12.9999
1600675;17.01.2013;31.12.9999
1600676;15.01.2007;31.12.9999
1600707;06.06.1988;31.12.9999
1600727;19.09.1995;31.12.9999
1600733;30.12.2016;31.12.9999
1600743;05.01.2004;31.12.9999
1600748;01.03.2003;31.12.9999
1600755;01.08.2014;31.12.9999
1600756;08.09.2011;31.12.9999
1600757;21.01.2019;31.12.9999
1600758;01.10.2019;31.12.9999
1600764;02.12.1996;31.12.9999
1600765;21.05.2002;31.12.9999
1600766;24.04.2012;31.12.9999
1600767;10.01.2012;31.12.9999
1601005;01.12.2017;31.12.9999
1601006;26.06.2017;31.12.9999
1601008;16.04.2012;31.12.9999
1601009;09.01.2019;31.12.9999
1601010;16.04.2012;31.12.9999
1601011;05.04.2005;31.12.9999
1601012;16.04.2012;31.12.9999
1601013;02.07.2013;31.12.9999
1601014;14.01.2010;31.12.9999
1601016;19.04.2011;31.12.9999
1601018;24.09.2012;31.12.9999
1601023;24.12.2001;31.12.9999
1601025;13.02.2007;31.12.9999
1601027;01.09.2005;31.12.9999
1601030;01.03.2012;31.12.9999
1601033;01.03.1999;31.12.9999
1601036;18.04.2011;31.12.9999
1601037;01.09.2017;31.12.9999
1601039;11.01.2009;31.12.9999
1601040;03.05.2018;31.12.9999
1601041;03.02.2015;31.12.9999
1601043;14.09.2009;31.12.9999
1601044;13.07.2012;31.12.9999
1601045;21.05.2001;31.12.9999
1601046;19.03.2008;31.12.9999
1601047;14.09.2011;31.12.9999
1601048;10.09.2019;31.12.9999
1601049;25.12.2012;31.12.9999
1601050;01.06.2018;31.12.9999
1601051;19.01.2009;31.12.9999
1601056;01.04.2015;31.12.9999
1601057;18.01.2007;31.12.9999
1601059;03.10.2016;31.12.9999
1601061;09.08.2010;31.12.9999
1601063;24.06.2011;31.12.9999
1601064;09.03.2005;31.12.9999
1601066;01.05.2016;31.12.9999
1601069;16.04.2012;31.12.9999
1601070;01.01.2017;31.12.9999
1601073;01.06.2011;31.12.9999
1601074;17.06.2013;31.12.9999
1601075;01.11.2012;31.12.9999
1601076;02.08.2004;31.12.9999
1601077;07.07.2003;31.12.9999
1601078;28.11.2016;31.12.9999
1601079;14.02.2014;31.12.9999
1601080;03.05.2011;31.12.9999
1601081;01.12.2008;31.12.9999
1601082;09.02.2016;31.12.9999
1601083;09.04.2012;31.12.9999
1601084;29.01.2018;31.12.9999
1601086;16.04.2012;31.12.9999
1601088;05.02.2013;31.12.9999
1601089;26.12.2018;31.12.9999
1601090;22.01.1998;31.12.9999
1601092;15.12.2014;31.12.9999
1601094;01.01.2017;31.12.9999
1601097;01.06.2011;31.12.9999
1601099;16.04.2012;31.12.9999
1601100;03.07.2000;31.12.9999
1601101;01.06.2005;31.12.9999
1601102;01.09.2014;31.12.9999
1601103;29.12.2017;31.12.9999
1601104;06.08.2009;31.12.9999
1601105;06.11.2013;31.12.9999
1601108;30.08.2010;31.12.9999
1601109;04.01.2002;31.12.9999
1601110;19.05.2004;31.12.9999
1601114;01.06.2011;31.12.9999
1601115;01.06.2011;31.12.9999
1601116;06.08.2003;31.12.9999
1601117;03.06.2011;31.12.9999
1601118;20.02.2001;31.12.9999
1601120;02.04.2012;31.12.9999
1601122;27.12.2018;31.12.9999
1601123;01.06.2011;31.12.9999
1601124;26.09.2011;31.12.9999
1601127;24.10.2007;31.12.9999
1601128;15.12.2017;31.12.9999
1601129;23.12.2013;31.12.9999
1601134;06.03.2013;31.12.9999
1601135;01.06.2011;31.12.9999
1601136;29.12.2017;31.12.9999
1601137;01.06.2011;31.12.9999
1601138;01.03.2013;31.12.9999
1601142;24.01.2013;31.12.9999
1601144;23.03.2017;31.12.9999
1601146;02.04.2018;31.12.9999
1601147;16.04.2012;31.12.9999
1601149;11.04.2018;31.12.9999
1601153;23.12.2009;31.12.9999
1601154;01.06.2011;31.12.9999
1601156;18.09.2017;31.12.9999
1601158;25.06.2014;31.12.9999
1601160;15.06.2011;31.12.9999
1601161;23.12.2013;31.12.9999
1601162;07.12.2011;31.12.9999
1601163;02.08.2007;31.12.9999
1601164;01.01.2017;31.12.9999
1601166;10.08.2009;31.12.9999
1601167;01.09.2005;31.12.9999
1601168;01.06.2011;31.12.9999
1601170;11.09.2014;31.12.9999
1601171;03.02.2003;31.12.9999
1601172;11.05.2011;31.12.9999
1601174;02.05.2007;31.12.9999
1601181;15.12.2017;31.12.9999
1601214;14.10.2017;31.12.9999
1601291;21.05.2013;31.12.9999
1601347;17.07.2017;31.12.9999
1601364;01.01.2017;31.12.9999
1601365;01.02.2000;31.12.9999
1601367;19.12.2016;31.12.9999
1601368;21.03.2018;31.12.9999
1601369;11.01.2000;31.12.9999
1601370;05.05.1997;31.12.9999
1601371;30.03.2009;31.12.9999
1601372;09.07.2014;31.12.9999
1601373;24.01.2013;31.12.9999
1601374;29.02.1988;31.12.9999
1601375;28.05.2014;31.12.9999
1601377;11.12.2017;31.12.9999
1601378;05.11.2008;31.12.9999
1601379;01.01.2017;31.12.9999
1601380;15.09.2014;31.12.9999
1601383;14.12.1992;31.12.9999
1601384;18.09.2008;31.12.9999
1601385;10.01.2018;31.12.9999
1601386;01.11.2017;31.12.9999
1601387;29.02.1988;31.12.9999
1601390;12.11.2009;31.12.9999
1601391;15.09.2017;31.12.9999
1601394;25.03.1997;31.12.9999
1601395;16.03.2009;31.12.9999
1601397;01.08.1991;31.12.9999
1601399;12.03.2008;31.12.9999
1601400;18.02.2008;31.12.9999
1601401;02.06.2014;31.12.9999
1601403;15.04.2008;31.12.9999
1601405;02.06.2014;31.12.9999
1601407;10.05.2011;31.12.9999
1601409;15.09.2017;31.12.9999
1601410;26.10.2001;31.12.9999
1601412;20.10.2009;31.12.9999
1601415;09.09.2013;31.12.9999
1601416;01.11.2017;31.12.9999
1601417;20.12.2017;31.12.9999
1601418;11.02.1991;31.12.9999
1601419;17.01.2005;31.12.9999
1601420;21.03.2008;31.12.9999
1601421;27.09.1995;31.12.9999
1601424;04.03.1997;31.12.9999
1601425;01.02.2016;31.12.9999
1601426;30.05.2012;31.12.9999
1601429;11.07.2012;31.12.9999
1601432;20.12.1999;31.12.9999
1601433;25.11.1999;31.12.9999
1601434;10.11.2015;31.12.9999
1601436;06.10.2010;31.12.9999
1601437;02.10.2017;31.12.9999
1601439;07.11.2009;31.12.9999
1601441;14.12.1992;31.12.9999
1601444;19.01.2009;31.12.9999
1601445;27.10.2009;31.12.9999
