tn;begin;end
1800040;15.04.2002;31.12.9999
1800043;02.06.2014;31.12.9999
1800081;21.12.1998;31.12.9999
1800082;01.01.2019;31.12.9999
1800126;19.05.2014;31.12.9999
1800169;01.08.2001;31.12.9999
1800179;05.11.2013;31.12.9999
1800195;05.10.2005;31.12.9999
1800260;29.04.2005;31.12.9999
1800282;01.03.2005;31.12.9999
1800291;08.12.2004;31.12.9999
1800299;17.01.2007;31.12.9999
1800310;18.10.1999;31.12.9999
1800311;19.03.2001;31.12.9999
1800312;16.09.1996;31.12.9999
1800323;01.06.2004;31.12.9999
1800350;24.01.2014;31.12.9999
1800407;20.09.2006;31.12.9999
1800408;17.04.2017;31.12.9999
1800433;09.09.2020;31.12.9999
1800441;13.03.2019;31.12.9999
1800467;03.09.2001;31.12.9999
1800472;09.04.2019;31.12.9999
1800491;01.01.2016;31.12.9999
1800503;01.01.2010;31.12.9999
1800539;07.03.2008;31.12.9999
1800566;01.11.2005;31.12.9999
1800566;01.01.2010;31.12.9999
1800605;01.01.2015;31.12.9999
1800606;01.01.2010;31.12.9999
1800608;15.02.1993;31.12.9999
1800609;15.08.2001;31.12.9999
1800623;05.08.1991;31.12.9999
1800634;01.01.2010;31.12.9999
1800703;05.08.2010;31.12.9999
1800730;01.01.2010;31.12.9999
1800735;01.01.2010;31.12.9999
1800745;01.03.2019;31.12.9999
1800762;03.12.2018;31.12.9999
1800763;28.02.2008;31.12.9999
1800765;25.02.2010;31.12.9999
1800766;28.03.2010;31.12.9999
1800768;25.04.2003;31.12.9999
1800769;22.09.2003;31.12.9999
1800769;21.01.2015;31.12.9999
1800771;01.12.2008;31.12.9999
1800775;29.04.2020;31.12.9999
1800776;18.02.2015;31.12.9999
1800777;17.07.2014;31.12.9999
1800778;31.05.2019;31.12.9999
1800786;25.07.2020;31.12.9999
1800787;01.08.2003;31.12.9999
1800787;01.01.2010;31.12.9999
1800788;20.08.2007;31.12.9999
1800789;30.03.2020;31.12.9999
1800791;24.10.2005;31.12.9999
1800792;29.12.2011;31.12.9999
1800793;24.08.2005;31.12.9999
1800799;09.07.2007;31.12.9999
1800799;01.01.2010;31.12.9999
1800801;25.06.2007;31.12.9999
1800801;01.01.2010;31.12.9999
1800802;22.05.2006;31.12.9999
1800804;10.12.2007;31.12.9999
1800804;20.03.2019;31.12.9999
1800805;01.01.2020;31.12.9999
1800806;19.04.2012;31.12.9999
1800807;03.12.2007;31.12.9999
1800808;01.05.1999;31.12.9999
1800815;03.05.2017;31.12.9999
1800819;13.12.2016;31.12.9999
1800820;07.06.2004;31.12.9999
1800826;17.09.2002;31.12.9999
1800838;16.09.2013;31.12.9999
1800888;01.01.2010;31.12.9999
1800921;15.02.2019;31.12.9999
