tn;begin;end
1900064;25.11.2019;31.12.9999
1900076;01.06.2016;31.12.9999
1900135;03.07.2006;31.12.9999
1900216;15.01.2018;31.12.9999
1900227;01.04.2017;31.12.9999
1900267;06.10.2018;31.12.9999
1900280;03.12.2018;31.12.9999
1900347;03.03.2003;31.12.9999
1900453;09.01.2019;31.12.9999
1900498;01.04.2008;31.12.9999
1900505;17.07.2015;31.12.9999
1900549;01.03.2012;31.12.9999
1900695;01.10.2020;31.12.9999
1900702;09.01.2013;31.12.9999
1900911;23.04.2002;31.12.9999
1900928;01.10.2012;31.12.9999
1901016;30.12.2018;31.12.9999
1901020;17.07.2019;31.12.9999
1901053;01.07.2019;31.12.9999
1901233;23.01.2008;31.12.9999
1901233;22.03.2019;31.12.9999
1901234;01.01.2016;31.12.9999
1901237;06.04.2017;31.12.9999
1901296;01.04.2009;31.12.9999
1901296;01.01.2015;31.12.9999
1901304;03.06.2016;31.12.9999
1901307;23.07.2018;31.12.9999
1901334;16.09.2002;31.12.9999
1901336;22.05.2019;31.12.9999
1901366;01.11.2019;31.12.9999
1901380;01.11.2019;31.12.9999
1901412;01.07.2019;31.12.9999
1901462;01.01.2018;31.12.9999
1901470;23.04.2003;31.12.9999
1901470;01.12.2015;31.12.9999
1901472;30.06.2020;31.12.9999
1901477;01.10.2020;31.12.9999
1901504;29.04.2016;31.12.9999
1901517;01.04.2011;31.12.9999
1901532;13.05.2002;31.12.9999
1901534;01.02.2003;31.12.9999
1901535;01.01.2014;31.12.9999
1901536;25.02.2015;31.12.9999
1901541;10.10.2013;31.12.9999
1901543;18.10.2010;31.12.9999
1901544;09.09.2019;31.12.9999
1901546;23.02.2011;31.12.9999
1901546;01.01.2015;31.12.9999
1901548;23.01.2008;31.12.9999
1901549;14.05.2012;31.12.9999
1901551;14.05.2012;31.12.9999
1901552;23.01.2008;31.12.9999
1901553;01.01.2012;31.12.9999
1901554;23.01.2008;31.12.9999
1901555;23.01.2008;31.12.9999
1901555;01.01.2017;31.12.9999
1901556;01.11.2012;31.12.9999
1901559;23.01.2008;31.12.9999
1901560;09.02.2015;31.12.9999
1901561;19.07.2012;31.12.9999
1901562;01.02.2013;31.12.9999
1901564;01.02.2008;31.12.9999
1901564;01.01.2012;31.12.9999
1901565;06.04.2017;31.12.9999
1901566;12.11.2018;31.12.9999
1901567;23.01.2008;31.12.9999
1901568;06.04.2017;31.12.9999
1901569;09.02.2010;31.12.9999
1901571;01.06.2010;31.12.9999
1901573;01.01.2018;31.12.9999
1901575;01.04.2020;31.12.9999
1901576;03.06.2020;31.12.9999
1901580;19.10.2010;31.12.9999
1901581;19.05.2015;31.12.9999
1901585;06.11.2012;31.12.9999
1901587;03.07.2007;31.12.9999
1901592;01.01.2013;31.12.9999
1901593;01.01.2013;31.12.9999
1901596;01.09.2016;31.12.9999
1901609;15.05.2019;31.12.9999
1901617;25.02.2013;31.12.9999
1901619;12.07.2012;31.12.9999
1901620;11.05.2005;31.12.9999
1901626;15.05.2019;31.12.9999
1901629;17.07.2015;31.12.9999
1901632;01.02.2008;31.12.9999
1901636;05.05.2010;31.12.9999
1901639;30.04.2011;31.12.9999
1901676;01.10.2020;31.12.9999
1901740;01.01.2010;31.12.9999
1901824;01.10.2020;31.12.9999
1901825;30.05.2011;31.12.9999
1901831;01.10.2012;31.12.9999
1901857;26.04.2018;31.12.9999
1901858;01.01.2018;31.12.9999
1901859;01.10.2020;31.12.9999
1901863;02.02.2009;31.12.9999
1901868;22.03.2019;31.12.9999
1901869;15.02.2012;31.12.9999
1901870;01.01.2013;31.12.9999
