tn;begin;end
2000037;25.02.2020;31.12.9999
2000045;02.05.2007;31.12.9999
2000051;04.02.2008;31.12.9999
2000054;01.02.2007;01.01.2099
2000059;04.02.2008;01.01.2099
2000071;19.11.2003;31.12.9999
2000078;13.06.2017;01.01.2099
2000140;20.01.2015;31.12.9999
2000148;14.05.2013;31.12.9999
2000158;01.10.2003;31.12.2999
2000212;16.06.2004;31.12.9999
2000231;01.06.2010;31.12.9999
2000249;21.02.2020;31.12.9999
2000253;01.11.2016;31.12.9999
2000255;17.12.1987;31.12.2099
2000265;06.03.2020;31.12.9999
2000288;09.03.2004;31.12.9999
2000292;01.01.1992;31.12.9999
2000292;20.12.2005;31.12.9999
2000303;03.10.2003;31.12.2099
2000331;18.02.2020;31.12.9999
2000333;11.05.2005;31.12.9999
2000335;01.12.2004;31.12.2099
2000347;21.02.2020;31.12.9999
2000349;10.05.2011;31.12.9999
2000350;11.12.2008;01.01.2099
2000356;03.10.2002;01.01.2099
2000368;04.02.2008;31.12.9999
2000373;01.09.2007;31.12.2099
2000378;14.12.2011;01.01.2099
2000379;31.05.2017;31.12.9999
2000389;06.04.1992;31.12.9999
2000392;26.08.1981;31.12.9999
2000398;01.05.2011;01.01.2099
2000402;01.10.2008;01.01.2099
2000406;20.11.2008;31.12.9999
2000414;12.06.2014;01.01.2099
2000415;17.09.2008;01.01.2099
2000420;14.05.2013;01.01.2099
2000427;01.10.2003;31.12.9999
2000433;14.05.2013;01.01.2099
2000445;01.05.2009;01.01.2099
2000447;01.08.2009;01.01.2099
2000450;01.01.2015;01.01.2099
2000482;01.09.2012;31.12.9999
2000486;16.11.2009;31.12.2099
2000505;18.04.2019;31.12.9999
2000506;18.11.1991;31.12.9999
2000508;29.09.2006;31.12.9999
2000509;16.08.2010;31.12.2099
2000515;01.12.2016;31.12.9999
2000520;01.11.2009;31.12.2099
2000521;01.11.2004;31.12.2099
2000521;10.01.2012;31.12.2099
2000525;18.10.2012;01.01.2099
2000526;04.02.2008;31.12.9999
2000532;01.03.2020;31.12.9999
2000534;14.12.2010;31.12.9999
2000535;01.07.2013;31.12.9999
2000536;01.07.2013;01.01.2099
2000537;01.11.2011;31.12.9999
2000542;19.10.2015;01.01.2099
2000543;02.03.2009;31.12.9999
2000543;09.03.2009;31.12.9999
2000544;01.07.2020;31.12.9999
2000551;13.07.2004;31.12.2099
2000557;01.06.2017;01.01.2099
2000565;02.07.2013;31.12.9999
2000568;01.02.2006;31.12.9999
2000572;14.08.2008;31.12.9999
2000575;04.02.2008;01.01.2099
2000579;01.11.1995;31.12.9999
2000581;04.02.2008;31.12.9999
