rp,tn
70,600128
70,600129
70,600172
70,600190
70,600218
70,600290
70,600331
70,600360
70,600390
70,600427
70,600544
70,600547
70,600570
70,600639
70,600657
70,600687
70,601011
70,601287
70,601340
70,601484
70,601500
70,601504
70,601531
70,601540
70,601566
70,601574
70,601589
70,601590
70,601735
70,601823
70,601900
70,601985
70,602081
70,602147
70,602179
70,602234
70,602248
70,602290
70,602319
70,602332
70,602352
70,602385
70,602393
70,602396
70,602402
70,602405
70,602408
70,602409
70,602410
70,602411
70,602412
70,602415
70,602416
70,602421
70,602422
70,602424
70,602426
70,602429
70,602450
70,602452
70,602459
70,602461
70,602473
70,602474
70,602482
70,602497
70,602501
70,602505
70,602508
70,602511
70,602512
70,602517
70,602522
70,602528
70,602554
70,602565
70,602566
70,602579
70,602606
70,602608
70,602610
70,602612
70,602613
70,602615
70,602616
70,602617
70,602618
70,602621
70,602625
70,602627
70,602631
70,602632
70,602634
70,602638
70,602641
70,602642
70,602644
70,602645
70,602650
70,602651
70,602652
70,602653
70,602654
70,602656
70,602664
70,602666
70,602667
70,602669
70,602671
70,602673
70,602676
70,602678
70,602682
70,602687
70,602689
70,602691
70,602695
70,602698
70,602700
70,602701
70,602702
70,602703
70,602704
70,602706
70,602708
70,602709
70,602711
70,602713
70,602714
70,602715
70,602716
70,602717
70,602718
70,602720
70,602721
70,602722
70,602725
70,602729
70,602730
70,602731
70,602732
70,602733
70,602735
70,602737
70,602738
70,602739
70,602743
70,602746
70,602747
70,602748
70,602750
70,602753
70,602758
70,602760
70,602761
70,602764
70,602771
70,602774
70,602776
70,602777
70,602778
70,602780
70,602784
70,602785
70,602786
70,602787
70,602790
70,602791
70,602793
70,602796
70,602798
70,602799
70,602802
70,602803
70,602804
70,602807
70,602808
70,602809
70,602810
70,602812
70,602814
70,602815
70,602816
70,602818
70,602820
70,602823
70,602825
70,602826
70,602827
70,602828
70,602829
70,602830
70,602832
70,602833
70,602835
70,602837
70,602839
70,602840
70,602841
70,602842
70,602843
70,602844
70,602846
70,602849
70,602850
70,602851
70,602853
70,602854
70,602856
70,602857
70,602858
70,602859
70,602860
70,602861
70,602865
70,602867
70,602868
70,602869
70,602870
70,602873
70,602877
70,602878
70,602881
70,602882
70,602885
70,602886
70,602887
70,602888
70,602890
70,602891
70,602893
70,602895
70,602896
70,602901
70,602902
70,602903
70,602904
70,602907
70,602910
70,602911
70,602912
70,602918
70,602920
70,602921
70,602922
70,602925
70,602929
70,602932
70,602933
70,602935
70,602936
70,602937
70,602941
70,602944
70,602945
70,602948
70,602949
70,602950
70,602953
70,602954
70,602955
70,602956
70,602957
70,602961
70,602963
70,602966
70,602969
70,602971
70,602972
70,602974
70,602976
70,602978
70,602979
70,602981
70,602983
70,602985
70,602986
70,602987
70,602988
70,602989
70,602992
70,602993
70,602995
70,602996
70,602997
70,602999
70,603001
70,603002
70,603003
70,603005
70,603006
70,603008
70,603009
70,603010
70,603012
70,603013
70,603014
70,603024
70,603027
70,603028
70,603029
70,603031
70,603034
70,603036
70,603037
70,603038
70,603041
70,603042
70,603043
70,603047
70,603048
70,603049
70,603051
70,603053
70,603055
70,603057
70,603059
70,603062
70,603064
70,603068
70,603069
70,603070
70,603071
70,603072
70,603073
70,603076
70,603077
70,603078
70,603079
70,603080
70,603081
70,603082
70,603083
70,603085
70,603086
70,603088
70,603092
70,603094
70,603095
70,603096
70,603097
70,603098
70,603099
70,603100
70,603102
70,603103
70,603105
70,603106
70,603107
70,603110
70,603111
70,603112
70,603114
70,603115
70,603117
70,603118
70,603119
70,603120
70,603122
70,603123
70,603124
70,603125
70,603127
70,603128
70,603129
70,603130
70,603131
70,603133
70,603134
70,603135
70,603136
70,603139
70,603140
70,603141
70,603142
70,603143
