tn;begin;end
2100111;16.02.2004;31.12.9999
2100395;01.01.2018;31.12.9999
2100420;01.04.2007;31.12.9999
2100421;01.10.2003;31.12.9999
2100428;01.04.2007;31.12.9999
2100430;15.08.1989;31.12.9999
2100438;01.05.2007;31.12.9999
2100441;08.02.2018;31.12.9999
2100473;01.01.2020;31.12.9999
2100475;01.01.2018;31.12.9999
2100487;09.01.2018;31.12.9999
2100490;14.10.2014;31.12.9999
2100499;01.08.2008;31.12.9999
2100500;09.01.2020;31.12.9999
2100505;01.03.2013;31.12.9999
2100506;25.03.2013;31.12.9999
2100531;09.01.2018;31.12.9999
2100534;24.08.1994;31.12.9999
2100537;24.03.2016;31.12.9999
2100571;01.01.2019;31.12.9999
2100572;05.03.2013;31.12.9999
2100574;13.03.2020;31.12.9999
2100587;15.05.2006;31.12.9999
2100589;27.07.2020;31.12.9999
2100611;07.10.2013;31.12.9999
2100612;01.10.2013;31.12.9999
2100613;29.03.2007;31.12.9999
2100614;09.06.2009;31.12.9999
2100618;18.10.2010;31.12.9999
2100620;19.10.2010;31.12.9999
2100622;02.07.2012;31.12.9999
2100623;03.05.2011;31.12.9999
2100629;09.07.2020;31.12.9999
2100630;23.07.2019;31.12.9999
2100631;26.09.2011;31.12.9999
2100633;03.02.2003;31.12.9999
2100634;15.06.2009;31.12.9999
2100635;29.01.2018;31.12.9999
2100636;17.01.2020;31.12.9999
2100638;02.07.2012;31.12.9999
2100644;02.07.2012;31.12.9999
2100645;05.12.2013;31.12.9999
2100646;01.01.2018;31.12.9999
2100647;03.04.2017;31.12.9999
2100649;01.01.2020;31.12.9999
2100652;15.06.2012;31.12.9999
2100654;11.01.2016;31.12.9999
2100655;19.03.2018;31.12.9999
2100657;25.10.2013;31.12.9999
2100659;11.01.2016;31.12.9999
2100660;01.01.2019;31.12.9999
2100661;09.01.2017;31.12.9999
2100663;08.06.2011;31.12.9999
2100665;16.11.2009;31.12.9999
2100667;22.01.2004;31.12.9999
2100670;30.04.2020;31.12.9999
2100672;15.06.2020;31.12.9999
2100676;23.03.2011;31.12.9999
2100677;08.06.2011;31.12.9999
2100678;08.06.2011;31.12.9999
2100680;07.04.2009;31.12.9999
2100684;01.01.2018;31.12.9999
2100685;18.02.2008;31.12.9999
2100687;01.01.2018;31.12.9999
2100692;01.04.2007;31.12.9999
2100693;24.01.2008;31.12.9999
2100697;03.10.2002;31.12.9999
2100703;01.08.2001;31.12.9999
2100704;27.12.2018;31.12.9999
2100708;02.09.1999;31.12.9999
2100729;09.01.2018;31.12.9999
2100730;22.01.2001;31.12.9999
2100739;16.12.2019;31.12.9999
2100839;14.01.2014;31.12.9999
2100840;16.07.2020;31.12.9999
2100843;23.06.2014;31.12.9999
2100845;01.07.2008;31.12.9999
2100848;18.07.2012;31.12.9999
2100850;01.04.2007;31.12.9999
2100851;01.02.2010;31.12.9999
2100853;01.03.2005;31.12.9999
2100856;20.06.2012;31.12.9999
2100857;11.01.2016;31.12.9999
2100858;09.01.2017;31.12.9999
2100863;19.03.2015;31.12.9999
2100866;17.10.2012;31.12.9999
2100885;12.11.2012;31.12.9999
2100888;01.01.2012;31.12.9999
2100888;01.01.2014;31.12.9999
2100891;11.08.2010;31.12.9999
2100892;01.01.2018;31.12.9999
