tn;begin;end
2400077;08.06.2012;31.12.9999
2400086;01.06.2018;31.12.9999
2400227;07.04.2020;31.12.9999
2400235;01.07.2005;31.12.9999
2400261;20.03.2008;31.12.9999
2400299;09.10.1995;31.12.9999
2400301;09.02.2002;31.12.9999
2400378;21.01.2009;31.12.9999
2400383;28.08.2009;31.12.9999
2400398;27.09.2018;31.12.9999
2400438;03.12.2012;31.12.9999
2400439;07.02.2018;31.12.9999
2400441;16.08.2010;31.12.9999
2400655;01.02.2018;31.12.9999
2400751;01.06.1993;31.12.9999
2400830;05.03.2008;31.12.9999
2401015;01.03.2018;31.12.9999
2401210;01.07.2014;31.12.9999
2401351;01.03.1997;31.12.9999
2401370;13.01.2018;31.12.9999
2401371;13.01.2018;31.12.9999
2401396;20.10.1994;31.12.9999
2401445;11.02.2019;31.12.9999
2401457;28.09.2009;31.12.9999
2401463;28.04.2018;31.12.9999
2401475;05.01.1999;31.12.9999
2401489;01.02.2018;31.12.9999
2401505;12.07.1985;31.12.9999
2401537;13.07.1987;31.12.9999
2401605;04.04.2013;31.12.9999
2401618;02.10.2017;31.12.9999
2401650;01.12.2014;31.12.9999
2401659;03.03.2003;31.12.9999
2401677;01.11.2017;31.12.9999
2401749;15.03.2018;31.12.9999
2401772;10.01.1989;31.12.9999
2401781;01.02.2018;31.12.9999
2401818;01.02.2018;31.12.9999
2401826;01.02.2018;31.12.9999
2401910;11.03.2018;31.12.9999
2401919;01.06.1998;31.12.9999
2401930;01.04.2020;31.12.9999
2401942;07.03.2018;31.12.9999
2401951;20.05.1982;31.12.9999
2401960;01.10.2012;31.12.9999
2401978;06.09.1986;31.12.9999
2401978;13.01.2018;31.12.9999
2402035;01.03.2018;31.12.9999
2402070;01.01.2016;31.12.9999
2402080;03.05.1995;31.12.9999
2402110;15.05.2017;31.12.9999
2402111;29.12.2017;31.12.9999
2402131;27.02.2002;31.12.9999
2402136;01.09.1998;31.12.9999
2402140;19.06.2001;31.12.9999
2402140;01.01.2019;31.12.9999
2402141;04.10.2011;31.12.9999
2402197;01.02.2012;31.12.9999
2402201;01.03.1991;31.12.9999
2402204;01.03.1993;31.12.9999
2402269;03.03.2008;31.12.9999
2402293;14.12.2016;31.12.9999
2402301;18.12.2008;31.12.9999
2402324;09.09.2011;31.12.9999
2402325;03.12.2012;31.12.9999
2402326;04.11.2004;31.12.9999
2402327;29.10.2007;31.12.9999
2402328;27.07.2020;31.12.9999
2402330;25.03.2008;31.12.9999
2402331;28.09.2020;31.12.9999
2402332;20.11.2015;31.12.9999
2402333;12.01.2006;31.12.9999
2402334;01.09.2012;31.12.9999
2402335;01.12.2010;31.12.9999
2402337;06.04.2009;31.12.9999
2402338;22.04.2020;31.12.9999
2402340;21.04.2010;31.12.9999
2402342;05.02.2009;31.12.9999
2402343;01.02.2012;31.12.9999
2402346;03.02.2020;31.12.9999
2402347;06.12.2005;31.12.9999
2402348;01.05.2006;31.12.9999
2402349;16.09.2013;31.12.9999
2402352;16.07.2009;31.12.9999
2402353;09.06.2011;31.12.9999
2402357;03.12.2012;31.12.9999
2402358;01.11.2018;31.12.9999
2402364;01.08.2018;31.12.9999
2402365;15.06.2011;31.12.9999
2402366;06.08.2012;31.12.9999
2402368;11.12.2014;31.12.9999
2402373;15.03.2013;31.12.9999
2402376;15.06.2010;31.12.9999
2402377;01.04.2014;31.12.9999
2402378;03.12.2012;31.12.9999
2402379;07.04.2014;31.12.9999
2402381;03.12.2012;31.12.9999
2402383;01.01.2011;31.12.9999
2402385;31.12.2015;31.12.9999
2402386;03.12.2012;31.12.9999
2402387;18.12.2015;31.12.9999
2402388;24.01.2019;31.12.9999
2402390;01.04.2014;31.12.9999
2402405;01.06.2018;31.12.9999
2402412;24.05.2010;31.12.9999
2402434;01.08.2012;31.12.9999
2402435;01.08.2012;31.12.9999
2402438;01.09.1998;31.12.9999
2402438;26.02.2019;31.12.9999
2402450;22.07.2011;31.12.9999
2402452;11.12.1998;31.12.9999
2402459;08.09.2014;31.12.9999
2402460;15.09.2015;31.12.9999
2402462;15.06.2010;31.12.9999
2402463;04.05.2016;31.12.9999
2402464;15.06.2010;31.12.9999
2402465;24.11.2006;31.12.9999
2402475;01.02.2018;31.12.9999
2402480;10.02.2015;31.12.9999
2402482;24.12.2018;31.12.9999
2402483;13.05.2013;31.12.9999
2402485;05.08.2014;31.12.9999
2402486;01.08.2012;31.12.9999
2402487;23.06.2016;31.12.9999
2402490;11.09.2014;31.12.9999
2402491;01.06.2015;31.12.9999
2402493;23.06.2015;31.12.9999
2402494;17.09.2013;31.12.9999
2402495;18.05.2005;31.12.9999
2402497;26.08.2013;31.12.9999
2402513;01.10.2009;31.12.9999
2402513;01.03.2018;31.12.9999
2402515;11.09.1990;31.12.9999
2402515;01.03.2018;31.12.9999
2402519;27.09.2018;31.12.9999
2402521;15.06.2010;31.12.9999
2402523;28.08.2018;31.12.9999
2402533;01.02.2018;31.12.9999
2402537;02.03.1995;31.12.9999
2402541;17.03.2013;31.12.9999
2402542;01.04.2015;31.12.9999
2402561;03.08.2020;31.12.9999
2402571;02.01.2007;31.12.9999
2402573;13.08.1990;31.12.9999
2402578;08.07.2013;31.12.9999
2402581;02.06.2008;31.12.9999
2402582;28.08.2013;31.12.9999
2402585;01.02.2018;31.12.9999
2402586;01.06.2006;31.12.9999
2402596;04.07.2019;31.12.9999
2402598;30.05.2012;31.12.9999
2402600;01.02.2018;31.12.9999
2402602;16.03.2020;31.12.9999
2402628;01.02.2018;31.12.9999
2402636;01.03.2018;31.12.9999
2402637;09.07.2018;31.12.9999
2402638;08.04.2015;31.12.9999
2402640;29.09.2011;31.12.9999
2402642;01.03.2018;31.12.9999
2402653;11.07.2016;31.12.9999
2402656;18.08.2014;31.12.9999
2402657;09.01.2020;31.12.9999
2402664;10.11.2006;31.12.9999
2402665;25.12.2012;31.12.9999
2402671;18.04.2005;31.12.9999
2402675;29.12.2016;31.12.9999
2402676;02.02.2015;31.12.9999
2402680;22.07.2013;31.12.9999
2402681;02.06.2011;31.12.9999
2402682;01.12.2014;31.12.9999
2402683;24.06.2013;31.12.9999
2402685;03.05.2018;31.12.9999
2402686;20.08.2013;31.12.9999
2402687;13.05.2020;31.12.9999
2402689;24.12.2019;31.12.9999
2402690;01.08.2019;31.12.9999
2402691;01.05.2018;31.12.9999
2402693;10.01.2007;31.12.9999
2402694;04.10.2013;31.12.9999
2402695;12.09.2011;31.12.9999
2402697;01.06.2020;31.12.9999
2402698;24.06.2014;31.12.9999
2402699;17.05.2011;31.12.9999
2402700;27.07.2015;31.12.9999
2402701;18.04.2011;31.12.9999
2402702;19.03.2014;31.12.9999
2402703;04.05.2016;31.12.9999
2402704;30.06.2008;31.12.9999
2402705;01.04.2019;31.12.9999
2402706;01.12.2016;31.12.9999
2402709;04.05.2016;31.12.9999
2402710;17.03.2014;31.12.9999
2402711;15.09.2015;31.12.9999
2402712;03.02.2020;31.12.9999
2402713;15.06.2010;31.12.9999
2402714;01.11.2018;31.12.9999
2402719;08.12.2015;31.12.9999
2402721;05.05.2015;31.12.9999
2402722;08.04.2015;31.12.9999
2402724;03.10.2016;31.12.9999
2402725;15.05.2017;31.12.9999
2402729;11.03.2012;31.12.9999
2402734;26.03.2018;31.12.9999
2402739;16.05.2011;31.12.9999
2402740;01.02.2018;31.12.9999
2402741;22.04.2014;31.12.9999
2402742;22.10.2012;31.12.9999
2402744;03.03.2014;31.12.9999
2402745;29.12.2011;31.12.9999
2402746;15.01.2007;31.12.9999
2402747;06.07.2017;31.12.9999
2402748;29.12.2014;31.12.9999
2402749;01.01.2014;31.12.9999
2402751;17.03.2014;31.12.9999
2402752;24.02.2010;31.12.9999
2402753;10.10.2011;31.12.9999
2402754;09.06.2014;31.12.9999
2402755;01.03.2020;31.12.9999
2402756;02.01.2019;31.12.9999
2402757;01.03.2018;31.12.9999
2402758;01.03.2019;31.12.9999
2402760;04.03.2009;31.12.9999
2402761;19.11.2018;31.12.9999
2402762;01.02.2018;31.12.9999
2402764;15.12.2016;31.12.9999
2402766;01.08.2018;31.12.9999
2402769;01.02.2014;31.12.9999
2402770;20.12.2010;31.12.9999
2402771;10.05.2016;31.12.9999
2402773;25.09.2020;31.12.9999
2402775;25.11.2008;31.12.9999
2402776;22.03.2013;31.12.9999
2402777;03.10.1989;31.12.9999
2402778;05.02.2020;31.12.9999
2402779;26.01.2009;31.12.9999
2402780;02.04.2012;31.12.9999
2402782;03.11.2011;31.12.9999
2402784;01.01.2016;31.12.9999
2402785;01.01.2016;31.12.9999
2402786;04.08.2015;31.12.9999
2402789;18.04.2011;31.12.9999
2402791;29.12.2018;31.12.9999
2402792;08.06.2020;31.12.9999
2402794;30.12.2010;31.12.9999
2402795;07.07.2015;31.12.9999
2402796;01.04.2008;31.12.9999
2402797;06.09.2007;31.12.9999
2402798;02.04.2007;31.12.9999
2402799;12.12.2011;31.12.9999
2402800;08.07.2016;31.12.9999
2402801;03.06.2020;31.12.9999
2402802;16.05.2007;31.12.9999
2402805;15.08.2016;31.12.9999
2402806;01.02.2018;31.12.9999
2402807;05.02.2016;31.12.9999
2402809;02.08.2016;31.12.9999
2402810;01.01.2013;31.12.9999
2402811;13.01.2018;31.12.9999
2402814;08.04.2009;31.12.9999
2402815;06.06.2018;31.12.9999
2402816;01.06.2015;31.12.9999
2402817;23.01.2014;31.12.9999
2402820;07.12.2018;31.12.9999
2402821;16.01.2019;31.12.9999
2402822;03.08.2009;31.12.9999
2402823;02.03.2018;31.12.9999
2402824;22.04.2014;31.12.9999
2402825;01.01.2013;31.12.9999
2402826;09.01.2019;31.12.9999
2402827;01.09.2014;31.12.9999
2402829;29.05.2018;31.12.9999
2402832;20.03.2003;31.12.9999
2402833;28.11.2011;31.12.9999
2402834;25.12.2015;31.12.9999
2402835;06.04.2020;31.12.9999
2402836;05.10.2015;31.12.9999
2402837;17.11.2005;31.12.9999
2402838;01.03.2018;31.12.9999
2402840;14.04.2017;31.12.9999
2402841;03.02.2016;31.12.9999
2402842;01.02.2018;31.12.9999
2402843;01.08.2019;31.12.9999
2402844;16.07.2018;31.12.9999
2402848;01.11.2019;31.12.9999
2402852;15.01.2018;31.12.9999
