tn;begin;end
2200176;01.04.2008;31.12.9999
2200230;28.06.2010;31.12.9999
2200296;21.05.2007;31.12.9999
2200365;01.03.2000;31.12.9999
2200538;27.12.2010;31.12.9999
2200729;18.11.2014;31.12.9999
2200798;01.01.2011;31.12.9999
2200848;07.02.2017;31.12.9999
2200919;01.12.2008;31.12.9999
2200945;01.03.2016;31.12.9999
2201099;01.03.2016;31.12.9999
2201134;01.03.2016;31.12.9999
2201161;01.10.2007;31.12.9999
2201237;01.07.2008;31.12.9999
2201332;01.01.2018;31.12.9999
2201344;22.09.1997;31.12.9999
2201344;01.01.2012;31.12.9999
2201403;09.01.2019;31.12.9999
2201426;01.12.2010;31.12.9999
2201439;05.11.2019;31.12.9999
2201444;12.03.2019;31.12.9999
2201446;02.02.2008;31.12.9999
2201448;12.08.2020;31.12.9999
2201450;01.01.2011;31.12.9999
2201457;01.09.1987;31.12.9999
2201457;14.08.2020;31.12.9999
2201480;01.01.2011;31.12.9999
2201489;01.03.2016;31.12.9999
2201550;29.11.2019;31.12.9999
2201582;01.12.2014;31.12.9999
2201592;01.12.2017;31.12.9999
2201611;25.08.2017;31.12.9999
2201644;01.03.2016;31.12.9999
2201753;01.01.2015;31.12.9999
2201759;17.12.2018;31.12.9999
2201763;01.01.2010;31.12.9999
2201764;15.06.2010;31.12.9999
2201766;05.07.2010;31.12.9999
2201783;11.08.2020;31.12.9999
2201848;01.03.2006;31.12.9999
2201849;01.08.2011;31.12.9999
2201912;01.06.2014;31.12.9999
2201982;01.06.2004;31.12.9999
2202039;29.11.2016;31.12.9999
2202040;13.02.2006;31.12.9999
2202040;28.01.2019;31.12.9999
2202045;03.07.2017;31.12.9999
2202046;01.03.2016;31.12.9999
2202047;01.03.2016;31.12.9999
2202048;01.03.2018;31.12.9999
2202049;01.01.2016;31.12.9999
2202050;10.04.1998;31.12.9999
2202051;10.06.2010;31.12.9999
2202052;01.03.2016;31.12.9999
2202056;01.06.2014;31.12.9999
2202059;01.08.2011;31.12.9999
2202060;01.09.1981;31.12.9999
2202060;01.06.2007;31.12.9999
2202061;01.10.2015;31.12.9999
2202070;12.11.2015;31.12.9999
2202071;01.01.2015;31.12.9999
2202078;01.02.2004;31.12.9999
2202081;01.08.2011;31.12.9999
2202086;01.06.2007;31.12.9999
2202086;01.01.2011;31.12.9999
2202091;15.06.2012;31.12.9999
2202097;01.04.2016;31.12.9999
2202110;01.11.1995;31.12.9999
2202120;01.01.2017;31.12.9999
