rp;tn;begin;end
70;600128;01.02.2005;31.12.9999
70;600129;25.11.1998;31.12.9999
70;600172;01.06.2004;31.12.9999
70;600172;01.09.2017;31.12.9999
70;600172;12.02.2019;31.12.9999
70;600172;01.06.2019;31.12.9999
70;600190;22.01.2007;31.12.9999
70;600218;27.09.2010;31.12.9999
70;600290;16.02.2006;31.12.9999
70;600331;28.03.2011;31.12.9999
70;600360;15.02.2011;31.12.9999
70;600390;18.06.2007;31.12.9999
70;600427;20.05.2013;31.12.9999
70;600544;01.12.2015;31.12.9999
70;600547;02.03.2010;31.12.9999
70;600547;01.01.2016;31.12.9999
70;600547;01.10.2018;31.12.9999
70;600570;19.05.2015;31.12.9999
70;600639;09.10.2019;31.12.9999
70;600657;01.01.2017;31.12.9999
70;600687;01.01.2010;31.12.9999
70;601011;28.03.1988;31.12.9999
70;601287;01.01.2016;31.12.9999
70;601287;21.01.2019;31.12.9999
70;601340;10.10.2008;31.12.9999
70;601340;01.01.2013;31.12.9999
70;601484;27.05.2013;31.12.9999
70;601484;21.09.2020;31.12.9999
70;601500;01.01.2017;31.12.9999
70;601504;05.03.1992;31.12.9999
70;601531;11.01.2011;31.12.9999
70;601540;01.07.2008;31.12.9999
70;601566;01.02.2014;31.12.9999
70;601566;23.01.2017;31.12.9999
70;601574;11.01.2011;31.12.9999
70;601589;01.07.1987;31.12.9999
70;601589;16.05.1989;31.12.9999
70;601590;31.12.2015;31.12.9999
70;601647;01.04.2015;31.12.9999
70;601647;01.07.2020;31.12.9999
70;601735;08.08.1990;31.12.9999
70;601823;01.03.1994;31.12.9999
70;601823;01.10.2015;31.12.9999
70;601900;17.02.1997;31.12.9999
70;601900;01.01.2013;31.12.9999
70;601900;01.09.2013;31.12.9999
70;601900;01.01.2018;31.12.9999
70;601985;01.07.2013;31.12.9999
70;601985;17.10.2018;31.12.9999
70;601985;01.01.2019;31.12.9999
70;602081;01.01.2008;31.12.9999
70;602081;12.07.2018;31.12.9999
70;602147;01.07.2014;31.12.9999
70;602147;01.04.2019;31.12.9999
70;602179;12.11.2019;31.12.9999
70;602234;01.01.2011;31.12.9999
70;602234;01.07.2014;31.12.9999
70;602248;05.11.2008;31.12.9999
70;602248;01.01.2013;31.12.9999
70;602256;01.01.2018;31.12.9999
70;602290;01.09.2017;31.12.9999
70;602290;17.03.2018;31.12.9999
70;602319;01.10.2002;31.12.9999
70;602332;14.04.2011;31.12.9999
70;602352;01.11.2004;31.12.9999
70;602385;01.02.2014;31.12.9999
70;602385;24.02.2015;31.12.9999
70;602393;01.01.2017;31.12.9999
70;602396;19.09.2005;31.12.9999
70;602396;25.02.2013;31.12.9999
70;602396;17.02.2014;31.12.9999
70;602396;01.01.2016;31.12.9999
70;602396;01.04.2016;31.12.9999
70;602396;22.02.2017;31.12.9999
70;602396;18.01.2020;31.12.9999
70;602402;01.04.2019;31.12.9999
70;602405;04.05.2011;31.12.9999
70;602405;15.10.2012;31.12.9999
70;602405;25.02.2013;31.12.9999
70;602405;17.02.2014;31.12.9999
70;602405;19.02.2014;31.12.9999
70;602405;31.08.2015;31.12.9999
70;602405;01.09.2017;31.12.9999
70;602405;03.07.2018;31.12.9999
70;602408;14.11.2008;31.12.9999
70;602408;11.11.2013;31.12.9999
70;602409;01.01.2012;31.12.9999
70;602410;01.01.2010;31.12.9999
70;602410;18.11.2013;31.12.9999
70;602411;01.01.2010;31.12.9999
70;602411;01.01.2015;31.12.9999
70;602412;24.01.2013;31.12.9999
70;602415;27.05.2009;31.12.9999
70;602415;01.07.2014;31.12.9999
70;602415;01.01.2016;31.12.9999
70;602415;01.09.2017;31.12.9999
70;602416;01.09.2017;31.12.9999
70;602421;10.03.2011;31.12.9999
70;602421;01.07.2014;31.12.9999
70;602421;01.09.2017;31.12.9999
70;602422;16.12.2008;31.12.9999
70;602422;05.11.2013;31.12.9999
70;602424;05.04.2010;31.12.9999
70;602424;24.01.2013;31.12.9999
70;602424;01.06.2020;31.12.9999
70;602426;24.01.2013;31.12.9999
70;602426;01.07.2014;31.12.9999
70;602426;01.01.2016;31.12.9999
70;602426;01.09.2017;31.12.9999
70;602429;17.06.2014;31.12.9999
70;602450;24.10.2006;31.12.9999
70;602450;19.04.2020;31.12.9999
70;602452;01.02.2010;31.12.9999
70;602452;01.04.2019;31.12.9999
70;602459;26.01.2011;31.12.9999
70;602459;12.05.2015;31.12.9999
70;602461;26.06.2017;31.12.9999
70;602473;21.04.2004;31.12.9999
70;602473;01.05.2019;31.12.9999
70;602474;01.11.2004;31.12.9999
70;602474;01.04.2019;31.12.9999
70;602482;13.05.1998;31.12.9999
70;602482;07.04.2014;31.12.9999
70;602482;01.09.2015;31.12.9999
70;602497;05.11.2015;31.12.9999
70;602497;01.01.2016;31.12.9999
70;602497;01.09.2017;31.12.9999
70;602501;01.07.2014;31.12.9999
70;602501;01.01.2016;31.12.9999
70;602501;01.09.2017;31.12.9999
70;602505;01.01.2011;31.12.9999
70;602505;01.01.2016;31.12.9999
70;602505;01.09.2017;31.12.9999
70;602505;04.09.2017;31.12.9999
70;602508;01.01.2014;31.12.9999
70;602508;29.08.2017;31.12.9999
70;602511;15.09.1986;31.12.9999
70;602512;19.10.2005;31.12.9999
70;602512;11.04.2016;31.12.9999
70;602517;10.10.2008;31.12.9999
70;602517;14.02.2013;31.12.9999
70;602522;01.01.2020;31.12.9999
70;602528;01.01.2016;31.12.9999
70;602554;02.01.2012;31.12.9999
70;602565;05.05.2009;31.12.9999
70;602565;28.03.2018;31.12.9999
70;602566;13.02.2012;31.12.9999
70;602566;05.03.2012;31.12.9999
70;602566;08.08.2012;31.12.9999
70;602566;01.07.2014;31.12.9999
70;602566;19.09.2014;31.12.9999
70;602566;01.04.2019;31.12.9999
70;602579;01.04.2011;31.12.9999
70;602579;01.01.2015;31.12.9999
70;602606;09.10.2015;31.12.9999
70;602608;11.02.2013;31.12.9999
70;602610;17.01.2008;31.12.9999
70;602610;01.09.2015;31.12.9999
70;602610;01.04.2019;31.12.9999
70;602612;24.02.2015;31.12.9999
70;602612;22.03.2016;31.12.9999
70;602613;01.10.2010;31.12.9999
70;602615;01.04.2004;31.12.9999
70;602616;25.02.2013;31.12.9999
70;602617;15.07.2013;31.12.9999
70;602618;25.05.2009;31.12.9999
70;602621;10.09.2008;31.12.9999
70;602621;01.09.2014;31.12.9999
70;602625;05.04.2011;31.12.9999
70;602627;10.04.2008;31.12.9999
70;602627;11.02.2013;31.12.9999
70;602627;01.03.2014;31.12.9999
70;602627;05.04.2018;31.12.9999
70;602627;23.07.2018;31.12.9999
70;602631;19.01.2010;31.12.9999
70;602632;10.02.2003;31.12.9999
70;602632;01.05.2013;31.12.9999
70;602634;01.11.2004;31.12.9999
70;602634;07.11.2016;31.12.9999
70;602634;01.04.2019;31.12.9999
70;602638;24.01.2011;31.12.9999
70;602638;13.01.2014;31.12.9999
70;602638;27.10.2014;31.12.9999
70;602641;01.01.2010;31.12.9999
