tn;begin;end
900037;01.09.1999;31.12.9999
900038;11.10.2012;31.12.9999
900079;17.12.1996;31.12.9999
900079;26.12.2008;31.12.9999
900080;01.01.2016;31.12.9999
900083;08.04.2013;31.12.9999
900091;12.07.2018;31.12.9999
900095;01.03.2019;31.12.9999
900146;26.03.2003;31.12.9999
900146;10.03.2020;31.12.9999
900188;10.03.2020;31.12.9999
900190;06.07.2018;31.12.9999
900197;15.07.2002;31.12.9999
900217;01.03.2013;31.12.9999
900285;02.03.2020;31.12.9999
900286;25.08.2020;31.12.9999
900287;04.09.2006;31.12.9999
900289;21.10.1979;31.12.9999
900289;20.01.2009;31.12.9999
900295;01.09.2010;31.12.9999
900297;14.06.2018;31.12.9999
900323;21.03.2016;31.12.9999
900357;01.10.2010;31.12.9999
900369;22.08.2000;31.12.9999
900381;01.06.2006;31.12.9999
900393;01.12.2002;31.12.9999
900433;01.08.2013;31.12.9999
900473;02.09.2002;31.12.9999
900473;01.01.2016;31.12.9999
900474;01.10.1990;31.12.9999
900474;01.01.2016;31.12.9999
900496;01.04.2020;31.12.9999
900516;01.01.2016;31.12.9999
900580;03.05.2018;31.12.9999
900593;01.06.2009;31.12.9999
900614;01.01.2016;31.12.9999
900615;13.10.2016;31.12.9999
900616;01.08.2010;31.12.9999
900617;16.03.2009;31.12.9999
900623;10.03.2020;31.12.9999
900623;08.09.2020;31.12.9999
900624;31.08.2020;31.12.9999
900625;22.02.2018;31.12.9999
900631;29.03.2010;31.12.9999
900631;19.04.2011;31.12.9999
900633;07.03.2019;31.12.9999
900636;28.10.2008;31.12.9999
900641;09.01.2008;31.12.9999
900651;16.08.2010;31.12.9999
900652;25.07.2011;31.12.9999
900654;01.02.2012;31.12.9999
900658;01.04.2020;31.12.9999
900660;01.12.2002;31.12.9999
900662;01.04.2020;31.12.9999
900664;08.12.2011;31.12.9999
900665;02.12.2019;31.12.9999
900673;17.04.2013;31.12.9999
900674;24.08.2007;31.12.9999
900674;18.10.2016;31.12.9999
900674;18.10.2017;31.12.9999
900674;21.02.2020;31.12.9999
900676;16.07.2007;31.12.9999
900676;02.12.2019;31.12.9999
900677;06.09.2010;31.12.9999
900680;22.06.2007;31.12.9999
900680;01.10.2014;31.12.9999
900683;14.08.2009;31.12.9999
900686;05.10.2020;31.12.9999
900687;02.06.2016;31.12.9999
900688;23.09.2020;31.12.9999
900690;01.01.2010;31.12.9999
900690;01.04.2020;31.12.9999
900692;14.05.2019;31.12.9999
900695;01.12.2002;31.12.9999
